name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CRUNCH ROLL,10.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
GYOZA,7.5,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY TUNA ROLL,7.5,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
CRAB PUFF,6.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
TEXANS ROLL,15.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN TERIYAKI,21.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF TERIYAKI,24.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP TERIYAKI,24.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SALMON TERIYAKI,24.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN KATSU CURRY,22.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP KATSU CURRY,22.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
MISO SEABASS,29.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY WHITE FISH,24.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
LAMB RACK SANSHOYAKI,30.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
THAI SEAFOOD CURRY,26.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
EDAMAME,5.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED SPRING ROLL,5.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SHUMAI,7.5,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SEVEN SPICED CALAMARI,10.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
STUFFED JALAPENO,8.5,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
AGEDASHI TOFU,8.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP VEGETABLE TEMPURA,12.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
TAKOYAKI,9.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SURUMEIKA SHIO YAKI,16.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF ISHIYAKI,16.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY GARLIC EDAMAME,6.5,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SEAWEED SALAD,5.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
IKA SANSAI,7.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BLACKENED AHI PEPPER TUNA,15.5,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
TUNA TAR TAR,15.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SALMON CARPACCIO,14.5,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
YUZU YELLOW TAIL,15.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
ANGUS BEEF TATAKI,16.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
KANI MAKI,11.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
USUZUKURI,13.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
HENRY’S SIGNATURE SPECIAL SCALLOP,10.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
YUZU SALMON,15.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
MISO SOUP,3.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SEAFOOD MISO SOUP,10.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SNOW CRAB SUNOMONO,10.5,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
KANI SUNOMONO,7.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
OCTOPUS SUNOMONO,8.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP SUNOMONO,8.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN YAKITORI,7.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF YAKITORI,9.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP YAKITORI,9.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
HAMACHI KAMA,15.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
KATSU DON,14.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
OYAKO DON,15.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
UNAGI DON,18.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
YAKI UDON,15.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
NABEYAKI UDON SOUP,16.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
YAKI SOBA,15.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FRIED RICE,12.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP FRIED RICE,14.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
STEAK FRIED RICE,15.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
COMBO FRIED RICE,17.0,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
VEGETABLE FRIED RICE,12.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
TUNA SUSHI,6.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
PEPPER TUNA SUSHI,6.95,,SAPPORO JAPANESE BISTRO & SUSHI BAR,"UBEREATS, HOUSTON, TX",,,,,,,
