name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TRIPLE CHOCOLATE CREPE,9.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
FRUIT CREPE,12.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
TRIPLE CHOCOLATE WAFFLE,9.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
SLEEK FRUIT WAFFLE,11.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
BROWNIE ICE-CREAM SHAWARMA,8.49,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
KIDS CREPE,6.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY CREPE,11.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
FETTUCCINE CREPE,12.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
SLEEK CARAMEL CREPE,9.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
SLEEK SHAWARMA WAFFLE,9.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
HONEY WAFFLE,9.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
KIDS WAFFLE,6.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
CARAMEL WAFFLE,8.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED SALMON CREPE,14.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED TURKEY & AVOCADO,12.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
CHIPOTLE ROASTED CHICKEN,12.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN ALFREDO CREPE,12.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
THE VEGETARIAN CREPE,11.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
GREEK SALAD,9.99,,SLEEK CHOCOLATE,"UBEREATS, HOUSTON, TX",,,,,,,
