name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
VEGGIE SPRING ROLL POR PIA TOD,10.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN & SHRIMP ROLL GOONG KA-BOK,11.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
PAD THAI (CHOICE OF PROTEIN),16.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
PAD THAI (TRADITIONAL),18.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN SATAY SATAI GAI,10.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BRAISED PORK SHOULDER KHAO KHA MOO (LUNCH),16.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
WAGYU BRAISED SHORT RIBS NUEA SIAM (LUNCH),21.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
3 FLAVOR FISH (LUNCH),17.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
HEAVENLY BEEF NUEA SAWAN (LUNCH),17.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHILI BASIL STIR FRY PAD GA POW (LUNCH),15.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
FLAT NOODLE STIR FRY PAD SI-EW (LUNCH),15.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
DRUNKEN NOODLE PAD KEE MAO (LUNCH),15.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
THAI TRADITIONAL FRIED RICE KHAO-PAD (LUNCH),15.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
PAD THAI (LUNCH),17.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
WOK CASHEW CHICKEN GAI PAD (LUNCH),16.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
COCONUT GREEN CURRY KANG KHEW WAAN (LUNCH),15.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CLAY POT RED CURRY DUCK KANG PHET PED YAN (LUNCH),18.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
YELLOW CURRY KAENG KARI (LUNCH),16.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
RED CURRY KANG PHET (LUNCH),15.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHILI BASIL FRIED RICE (LUNCH),15.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MASSAMAN CURRY (LUNCH),15.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
PANANG CURRY (LUNCH),15.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
THAI ICED TEA,4.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
ICED COFFEE,4.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
YOUNG COCONUT WATER,4.5,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH STRAWBERRY LEMONADE,4.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
MUSSELS IN RED CURRY PAD HOI,14.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SOFT SHELL CRAB PU KROB,17.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
TOFU IN GREEN CURRY TOW HOU TOD,10.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
HEAVENLY BEEF NUEA SAWAN,16.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BAKED CURRY POTATO PUFF KARI PUFF,10.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CALAMARI PLA MUAK YANG,16.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CALAMARI,16.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
THAI MEATBALLS,11.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BAM BAM SHRIMP,14.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
THAI CEVICHE,13.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN COCONUT TOM KHA GAI,8.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY LEMONGRASS BROTH WITH PRAWNS TOM YUM GOONG,8.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE SOUP,7.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED STEAK SALAD YUM NEUA,16.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY DUCK SALAD SALAD PED,15.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN LETTUCE WRAP LARB GAI,13.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE SALAD,7.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BLUE WATER PRAWNS GOONG KRA TIAM,25.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY WHOLE RED SNAPPER PLA TOD,37.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BAKED LOBSTER TAIL,30.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BANGKOK FISH PLA-PED PLA,25.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
WAGYU BRAISED SHORT RIBS NUEA SIAM,35.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRESH BEAN CURD TOW HOU PAD PRIK,19.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED HALF CHICKEN GAI YANG,24.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
BRAISED PORK SHOULDER KHA MOO,24.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
WOK GINGER RED FISH PAD KHING,29.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHILI BASIL STIR FRY PAD GA POW,18.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
THAI SESAME CHICKEN,24.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED SALMON,29.0,,SONGKRAN THAI KITCHEN,"UBEREATS, HOUSTON, TX",,,,,,,
