name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FLAN OR CREMA VOLTEADA,5.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
DULCE DE LECHE CHEESECAKE,6.75,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY-MANGO CAKE,5.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
FUNFETTI CAKESICLES,5.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE CAKESICLES,5.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PECANS ALFAJOR CLEAR BOX OF 12,6.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
ALFAJOR CLEAR BOX OF 12,6.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
ALFAJOR GIFT BOX OF 12,10.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PECAN ALFAJOR GIFT BOX OF 12,10.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
GIFT BOX OF 15 ALFAJORES,15.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PECAN ALFAJORES GIFT BOX OF 15,15.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
ALFAJOR BOX OF 25,20.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PECAN ALFAJOR BOX OF 25,20.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
ALFAJOR BOX OF 50,40.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PECAN ALFAJOR BOX OF 50,40.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
ALFAJOR BOX OF 100,85.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PECAN ALFAJOR BOX OF 100,85.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PASSION FRUIT,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
GUAVA,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
MANGO,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
DULCE DE LECHE,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
NUTELLA,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CAFÉ CON LECHE,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
BIRTHDAY CAKE,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
COCONUT,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
RASPBERRY,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY-NUTELLA,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
MACARON GIFT BOX OF 5,12.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
COTTON CANDY,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PERSONAL HANDWRITTEN NOTE,3.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
COOKIE MONSTER MACARON,3.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
UNICORNIO,3.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PAN CON POLLO,3.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN EMPANADAS,3.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
BEEF EMPANADAS,3.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PERUVIAN CHICKEN TAMALES,6.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PERUVIAN PORK TAMALES,6.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOFLAN,5.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
FLAN,5.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE CAKE,6.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY - MANGO CHANTILLY CAKE,5.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
COCADA,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
5 LECHES CAKE,7.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PECAN ALFAJOR CLEAR BOX OF 12,6.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
ARROZ CON LECHE,5.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
LECHE ASADA,4.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
SUSPIRO LIMEÑO,6.75,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
3 LECHES CAKE IN A CUP WITH FRUIT,5.25,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
3 LECHES CAKE,7.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
3 LECHES & PISCO CAKE,8.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
MILHOJAS,5.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
DULCE DE LECHE JAR,7.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
TIRAMISU DE LUCUMA,7.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PAVLOVA DE FRESA (STRAWBERRY),6.75,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
KEY LIME PIE IN A CUP,6.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PASSION FRUIT 3 LECHES CAKE,8.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
COMBINADO: ARROZ CON LECHE & MAZAMORRA MORADA,6.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOTEJAS,3.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
MEXICANO 💋💋,3.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
FRENCH KISS 💋,3.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
9” SMALL 3 LECHES CAKE,35.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
9” SMALL 5 LECHES CAKE,40.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
9” PASSION FRUIT CHEESECAKE,40.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
7” DULCE DE LECHE CHEESECAKE,40.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
BALLOON ( HAPPY BIRTHDAY),2.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
8” MANGO CHEESECAKE,45.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
7” STRAWBERRY CHEESECAKE,40.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
9” FLAN,45.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
7” TURTLE CHEESECAKE,40.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
7” ALFAJOR CHEESECAKE,40.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
8” LUCUMA CHEESECAKE,55.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
8” CHIRIMOYA CHEESECAKE,55.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PLAIN CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
GUAVA CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
NUTELLA CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PASSION FRUIT CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
TURTLE CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
COOKIES & CREAM CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
RAINBOW CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
MANGO CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
SNICKER CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
ALFAJOR CHEESECAKE,6.95,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
SUBLIME CHOCOLATE,1.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CUA CUA,1.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
MOROCHAS,1.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
DOÑA PEPA,1.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
HABAS,5.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CORONITA,1.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
CASINO,1.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
PICARAS,1.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
INKA KOLA,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
KOLA INGLESA,2.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
WATER,1.5,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
COKE,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
DIET COKE,2.0,,SWEETS BY BELEN,"UBEREATS, HOUSTON, TX",,,,,,,
