name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHEESECAKE OF THE DAY,8.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
CAJUN CHICKEN & WAFFLES,17.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED GOUDA,9.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
TASTE OF SOUL,30.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP & GRITS,26.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
CATFISH & GRITS,19.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
JERK LAMB CHOPS & EGGS,50.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
TASTE BREAKFAST,19.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
LOADED FRIES,11.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
SMOTHERED FRIES,11.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
CAJUN FRIES,11.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
CAJUN CHICKEN STRIPS,10.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FRIED CAULIFLOWER,10.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
JERK LAMB CHOPS,40.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
TASTE SURF & TURF,65.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
TWIN LOBSTER,58.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
JERK RACK OF LAMB,53.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN & WAFFLE SALAD,17.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
BACON SMOKED GOUDA,11.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
LOBSTER SMOKED GOUDA,22.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
BACON & LOBSTER SMOKED GOUDA,24.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
TRUFFLE SMOKED GOUDA,13.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
GENERAL TSO'S CHICKEN & WAFFLES,19.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHICKEN & WAFFLES,17.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
NASHVILLE CHICKEN & WAFFLES,19.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
JERK CHICKEN & WAFFLES,17.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
VEGAN CHICKEN & WAFFLES,17.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
BUFFALO CHICKEN & WAFFLES,19.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN FRIED LOBSTER & WAFFLES,30.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
BRAISED COLLARD GREENS,8.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
CANDIED YAM,8.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
FRENCH FRIES,7.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
HASHBROWNS,7.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
BACON,5.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
TURKEY BACON,6.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
GRITS,4.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
TWO EGGS,6.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
WHITE RICE,4.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED LOBSTER TAIL & GRITS,34.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
CAJUN SEAFOOD & GRITS,52.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
DEEP FRIED WAFFLE BREAD PUDDING,9.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
TASTE CAKE OF THE DAY,8.0,,TASTE BAR + KITCHEN TOGO,"UBEREATS, HOUSTON, TX",,,,,,,
