name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
#9 TAIWANESE SPICY HOT POT,17.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
#1 STINKY TOFU HOT POT,16.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP04-POPCORN CHICKEN,6.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
#5 SINGAPORE LAKSA HOT POT,16.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
#6 SOUR CABBAGE LAMB HOT POT,16.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP01- PRESERVED EGG WITH GREEN PEPPER,5.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP02-DEEP FRIED STINKY TOFU,7.25,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP03-DEEP FRIED CHICKEN CUTLET,8.45,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP05-SPICY BEEF TRIPE,6.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP06-SPICY STINKY TOFU,6.75,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP07-DEEP FRIED KING OYSTER MUSHROOM,6.5,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP08-DEEP FRIED CALAMARI,6.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP09-SWEET AND SPICY CHICKEN WINGS,7.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP10-TAIWANESE BRAISED PORK CHOP,7.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP11-TAKOYAKI,6.75,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
AP12-SLICED BOILED PORK,6.25,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B01-LAMB BBQ SKEWER,7.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B02-BEEF BBQ SKEWER,7.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B03-CHICKEN GIZZARDS BBQ SKEWER,5.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B04-CHICKEN WINGS BBQ SKEWER,5.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B05-PORK SAUSAGE BBQ SKEWER,5.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B06-SHRIMP BBQ SKEWER,5.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B07-PORK BELLY BBQ SKEWER,5.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B08-SWEET CORN BBQ SKEWER,4.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B09-SLICED CHINESE BUN BBQ SKEWER,3.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B10-CHICKEN THIGH BBQ SKEWER,5.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B11-BACON AND SAUSAGE WRAPPED BBQ SKEWER,4.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
B12-BEEF AND ENOKI MUSHROOM WRAPPED BBQ SKEWER,6.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
#2 TOMATO HOT POT,16.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
#3 TOM YUM WITH SHRIMP HOT POT,16.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
#4 HERBAL HOT POT,16.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
#7 GOLDEN SPICY SOUP BEEF HOT POT,16.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
#8 COCONUT CREAM CURRY HOT POT,16.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
#10 KOREAN ARMY HOT POT,17.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
#11 CHENGDU HOT SOUP,18.99,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
RE01-BRAISED PORK RICE,8.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
RE02-PORK SAUSAGE WITH BRAISED PORK RICE,9.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
RE03-DEEP FRIED PORK CHOP WITH BRAISED PORK RICE,10.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
RE04-DEEP FRIED CHICKEN CUTLET WITH BRAISED PORK RICE,12.45,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
NS01-TAIWANESE BRAISED PORK CHOP NOODLE,11.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
NS02-TAIWANESE BRAISED PORK NOODLE,8.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
COCA-COLA®,2.5,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
SPRITE®,2.5,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
JDB HERBAL TEA,2.5,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
M01-CHAMPAGNE BOBA MILK TEA,4.55,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
M02-BOBA ROAST SENCHA MILK TEA,4.55,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
M03-ROSE TIE GUAN YIN MILK TEA,4.55,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
M04-JASMINE GREEN MILK TEA,4.55,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
C01-LYCHEE COCONUT JELLY TEA,4.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
C02-PASSION FRUIT QQ TEA,4.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
C04-STRAWBERRY BROWN SUGAR NOODLE JELLY TEA,4.95,,TASTY POINT,"UBEREATS, HOUSTON, TX",,,,,,,
