name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PAD THAI,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
PAD SEE EWE,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
DRUNKEN NOODLES,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
THAI FRIED RICE,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED VIETNAMESE EGG ROLLS,5.75,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
THAI SOFT SPRING ROLLS,4.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
VIETNAMESE SOFT SPRING ROLLS,4.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
CRISPY VEGETABLE SPRING ROLLS,4.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED BABY ROLLS,6.5,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED TOFU,5.75,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
STEAMED DUMPLINGS,6.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED CALAMARI,7.5,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
THAI FISH CAKES,7.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
THAI PAPAYA SALAD,9.5,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
TOM KHA GAI SOUP,5.5,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
TOM YUM GOONG SOUP,5.5,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
CRYSTAL NOODLES SOUP WITH CHICKEN,5.5,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
WONTON SOUP,5.5,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
YUM SALAD,14.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
YUM WOON SEN SALAD,14.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
NAM SOD SALAD,14.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
GREEN SALAD,5.75,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY FRIED RICE,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
CHEF'S FRIED RICE,15.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
STIR FRIED CRYSTAL NOODLES,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
RED CURRY,14.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
YELLOW CURRY,14.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
GREEN CURRY,14.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
PANANG CURRY,14.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
MASSAMAN CURRY,14.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
SPICY BASIL,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
SAUTEED WITH GARLIC SAUCE,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
DEEP-FRIED GARLIC,14.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
SAUTEED FRESH GINGER,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
STIR-FRIED MIX VEGETABLES,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
THAI VILLAGE SAUCE,13.95,,THAI VILLAGE - RICE VILLAGE,"UBEREATS, HOUSTON, TX",,,,,,,
