name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BLACKBERRY CHUTNEY CHICKEN AND WAFFLES,15.0,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SOUTHERN TABLE BRISKET NACHOS,16.0,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BRISKET TACOS,13.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
THE ALEX BREGMAN BRISKET GRILLED CHEESE,13.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
MOONSHINERS SIGNATURE BREAKFAST BURGERS,14.75,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BLACKBERRY CHUTNEY HOT NASHVILLE CHICKEN AND WAFFLES,15.75,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BREAKFAST TACOS,12.75,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BRISKET BENEDICT,12.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
FRENCH TOAST BREAD PUDDING,12.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
PULLED PORK TACOS,12.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
PULLED PORK SANDWICH,12.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BLT+A SANDWICH,11.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED BRISKET SANDWICH,12.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP PO'BOY,15.0,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
MOONSHINERS SIGNATURE BEER,13.75,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
HOT NASHVILLE CHICKEN SANDWICH,13.75,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
KOUNTRY SALAD,12.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY FIELD SALAD,12.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SOUTHERN TABLE QUESADILLAS,13.5,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BANANA PUDDING,7.95,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
COKE,2.5,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
DIET COKE,2.5,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
DR. PEPPER,2.5,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
SPRITE,2.5,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
LEMONADE,2.5,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
BOTTLED WATER,2.5,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY FIELDS SALAD,12.0,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
“THE ALEX BREGMAN” BRISKET GRILLED CHEESE,12.5,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
MAMA’S A FRIED CHICKEN SANDWICH,12.0,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
MOONSHINERS SIGNATURE BURGER,13.0,,THE MOONSHINERS SOUTHERN TABLE + BAR,"UBEREATS, HOUSTON, TX",,,,,,,
