name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
DETOX ISLAND GREEN®,6.89,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
BUFFALO CHICKEN WRAP,7.99,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
COOKIE,1.29,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
ACAI BERRY BOOST,6.89,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
SUNRISE SUNSET ™,5.89,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
IT’S BACK! WATERMELON MOJITO® SMOOTHIE,6.09,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
NEW! MANGO BERRY COSMO SMOOTHIE,6.09,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
NEW! BBQ SHRIMP QUESADILLA,8.09,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
NEW! JERK CHICKEN QUESADILLA,6.99,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
NEW! BLT QUESADILLA,6.99,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
ISLAND GREEN®,6.89,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
AVOCOLADA ™,6.99,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
PEANUT PARADISE ™,6.89,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
CHIA BANANA BOOST ®,6.89,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
TRIPLE BERRY OAT ™,7.19,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
LEAN MACHINE ™,7.19,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
JETTY PUNCH ™,5.79,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
KIWI QUENCHER ®,5.79,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
PARADISE POINT ™,5.79,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
MANGO MAGIC ™,5.79,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
BLIMEY LIMEY ™,5.89,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
POMEGRANATE PLUNGE ™,6.89,,TROPICAL SMOOTHIE CAFE (1717 WEST 34TH STREET),"UBEREATS, HOUSTON, TX",,,,,,,
