name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
VIETNAM COAST - LÚC LẮC,13.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
VIETNAMESE EGG ROLLS - CHÃ GIÒ,5.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
VIETNAMESE SANDWICH - BÁNH MÌ,6.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC VIETNAMESE BEEF NOODLE SOUP - PHỞ,7.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
VERMICELLI BOWL - BÚN,8.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SPRING ROLLS - GỎI CUỐN,3.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED WONTON - HOÀNH THÁNH CHIÊN,4.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN WINGS,9.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHINESE EGG ROLLS - CHÃ GIÒ TÀU - 2,3.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN & SHRIMP LETTUCE WRAP,11.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
DUMPLINGS,5.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
THAI SOUP,4.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MEKONG SOUP - CANH CHUA,5.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MEKONG SOUP - CANH CHUA - FISH,12.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE SPECIAL SOUP,5.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
WONTON SOUP,3.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
EGG DROP SOUP,3.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
CRAB MEAT SOUP,5.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HOT & SOUR SOUP,3.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SPINACH SOUP,4.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
MÌ XÀO DÒN OR MÌ ÁP CHẢO,15.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
LINDA’S CHILDHOOD STREET NOODLES,12.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
THICK RICE NOODLE DELIGHT - HỦ TIẾU XÀO KHÔ,12.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HỦ TIẾU XÀO CẢI LÀN,13.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SINGAPORE STYLE VERMICELLI,12.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
SHRIMP & LOBSTER SAUCE NOODLE,14.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
THE ORIGINAL VIETNAM COAST - HỦ TIẾU ÁP CHẢO,14.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
LO MEIN NOODLES,11.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
RICE PLATE - CƠM DĨA,7.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
VIETNAMESE SALAD,8.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
VIETNAMESE FAJITAS,14.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
PAN FRIED STICKY RICE,8.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
FRIED RICE,8.5,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
HOUSE SPECIAL,11.0,,VIETNAM COAST RESTAURANT,"UBEREATS, HOUSTON, TX",,,,,,,
