name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHEESECAKE FLAN,3.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILAQUILES TRADICIONALES,10.5,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
2 SOUTHWEST CHICKEN TOSTADAS,7.5,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAESAR SALAD,9.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
PINEAPPLE CHIPOTLE PANINI SANDWICH,7.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BAGEL CLUB,8.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUNNY CROISSANT,7.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
WRAP UP MY MORNING BREAKFAST,8.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHORIZO & PAPA PANINI,8.5,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BANANA & NUTELLA PANINI,6.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
LOX & BAGEL,12.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
OPEN FACED BATARD,12.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BOYLE HEIGHTS SCRAMBLE,12.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHINESE SALAD,9.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALIFORNIA COBB SALAD,9.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
THAI SALAD,9.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
"STRAWBERRY, MOZZARELLA & BALSAMIC SALAD",9.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
FIESTA CHICKEN BOWL SALAD,9.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUE CHEESE & CANDIED WALNUT SALAD,9.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEK SALAD,9.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEK PITA FOLD,7.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEK PITA FOLD COMBO,10.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
RED CURRY MANGO CHICKEN PITA FOLD,7.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHIMICHURRI CHICKEN PITA FOLD,7.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
RED CURRY MANGO CHICKEN PITA FOLD COMBO,10.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHIMICHURRI CHICKEN PITA FOLD COMBO,10.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
TUNA SALAD PITA FOLD,7.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
TUNA SALAD PITA FOLD COMBO,10.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
2 ALL VEGGIE TOSTADAS,7.5,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
2 SALSA VERDE TOSTADAS,7.5,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
2 TUNA SALAD TOSTADAS,7.5,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN NACHOS,8.0,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUFFALO PANINI SANDWICH,7.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUFFALO PANINI SANDWICH COMBO,10.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
TUNA MELT,7.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
TUNA MELT COMBO,10.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
MOZZARELLA & BASIL PANINI SANDWICH,7.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
MOZZARELLA & BASIL PANINI SANDWICH COMBO,10.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEN MOLE PANINI SANDWICH,7.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEN MOLE PANINI SANDWICH COMBO,10.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BRIE & BLUE PANINI SANDWICH,7.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BRIE & BLUE PANINI SANDWICH COMBO,10.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
ITALIANO PANINI SANDWICH,7.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
ITALIANO PANINI SANDWICH COMBO,10.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
PINEAPPLE CHIPOTLE PANINI SANDWICH COMBO,10.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
EL CUBANO PANINI SANDWICH,7.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
EL CUBANO PANINI SANDWICH COMBO,10.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CREATE YOUR OWN SANDWICH,7.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CREATE YOUR OWN SANDWICH COMBO,10.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
HONEY MUSTARD CHICKEN WRAP,7.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
HONEY MUSTARD CHICKEN WRAP COMBO,10.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CILANTRO LIME CHICKEN WRAP,7.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CILANTRO LIME CHICKEN WRAP COMBO,10.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
HONEY BBQ CHICKEN WRAP,7.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
HONEY BBQ CHICKEN WRAP COMBO,10.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
POBLANO CHICKEN WRAP,7.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
POBLANO CHICKEN WRAP COMBO,10.25,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BANANA & CHEESE LOAF SLICE,2.99,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
PINA COLADA MACADAMIA LOAF SLICE,2.99,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
ZUCCHINI WALNUT LOAF SLICE,2.99,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
RASPBERRY & GUAVA HUNGARIAN SHORTBREAD BAR,2.99,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
FUDGE NUT BROWNIE,2.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
WHITE CHOCOLATE & PECAN BLONDIE,2.75,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEXICAN MOCHA LOAF,2.99,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CARROT & CHEESE LOAF,2.99,,ARCTIC HOT SPOT,"UBEREATS, LOS ANGELES, CA",,,,,,,
