name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
JACK FRUIT RED,3.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
MUSHROOMS,3.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHEESE/GREEN PEPPERS,3.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
PIBIL,3.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEANS,3.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN,3.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
PORK,3.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
TAMALES DOZEN,38.0,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
PANELA CHEESE,3.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CACTUS,3.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
PINEAPPLE,3.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
BOTTLED WATER,1.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEXICAN COKE®,2.0,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
TOPO CHICO®,2.5,,ARTESANO TAMALERIA,"UBEREATS, LOS ANGELES, CA",,,,,,,
