name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BANANA PUDDING,5.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
BABY BACK PLATTER,23.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SLICED BRISKET PLATTER,20.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
FULL BABY,27.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
HUSH PUPPIES,6.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHOPPED SALAD,10.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAESAR SALAD,10.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
MIXED GREENS,9.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
1/2 TRAY CHOPPED,20.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
FULL TRAY CHOPPED,40.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
1/2 TRAY CAESAR,20.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
FULL TRAY CAESAR,40.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
1/2 TRAY MIXED GREENS,20.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
FULL TRAY MIXED GREENS,40.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
WINGS,14.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUICIDE KING PORK,7.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUICIDE KING LINK,7.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUICIDE KING SHRIMP,9.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUICIDE KING TRI-TIP,9.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUICIDE KING BRISKET,9.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
COKE,3.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
DIET COKE,3.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPRITE,3.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROOTBEER,3.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
DR. PEPPER,3.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
ICED TEA,3.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET TEA,3.5,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
LEMONADE,3.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
ARNIE PALMER,3.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
BOTTLED WATER,3.0,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEMPHIS PLATTER,23.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
PORK PLATTER,16.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHOPPED BRISKET PLATTER,20.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
TRI-TIP PLATTER,21.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SMOKED CHICKEN PLATTER,18.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP PLATTER,26.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
CATFISH PLATTER,19.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
RIB PICKER BABY PORK,26.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
RIB PICKER BABY CHICKEN,28.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
RIB PICKER BABY SLICED BRISKET,31.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
RIB PICKER BABY CHOPPED BRISKET,31.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
RIB PICKER MEMPHIS PORK,26.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
RIB PICKER MEMPHIS CHICKEN,28.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
RIB PICKER MEMPHIS SLICED BRISKET,31.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
RIB PICKER MEMPHIS CHOPPED BRISKET,31.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
QUEEN,34.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
QUEEN ALL BABY,34.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
QUEEN ALL MEMPHIS,34.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
BIG BLUE,32.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUE DEVIL,38.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE CAR,15.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
PORK SANDWICH,11.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SLICED BRISKET SANDWICH,11.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHOPPED BRISKET SANDWICH,11.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
LINK SANDWICH,9.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
TRI-TIP SANDWICH,12.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
CATFISH SANDWICH,10.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN SANDWICH,10.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP SANDWICH,14.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
BACON-BLUE BURGER,12.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
WILLIE BROWN BURGER,12.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGAN TOFU SANDWICH,10.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
BAKED BEANS,4.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
COLE SLAW,4.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
CORN ON THE COB,4.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
CORNBREAD 1 PC,2.5,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
CORNBREAD 2 PC,4.95,,BABY BLUES BBQ,"UBEREATS, LOS ANGELES, CA",,,,,,,
