name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
DOUBLE WESTERN BACON CHEESEBURGER® COMBO,12.77,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
THE BREAKFAST BURGER™ COMBO,10.07,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
HAND-SCOOPED ICE-CREAM SHAKES™,5.99,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
FAMOUS STAR® WITH CHEESE,6.69,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
THE BREAKFAST BURGER,6.89,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
HAND-BREADED CHICKEN & WAFFLE SANDWICH COMBO,9.47,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED CHEESE BREAKFAST SANDWICH COMBO,8.17,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
FRENCH TOAST DIPS® COMBO,8.17,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
SAUSAGE EGG & CHEESE BISCUIT COMBO,7.87,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
BACON EGG & CHEESE BISCUIT COMBO,7.87,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
MONSTER BISCUIT® COMBO,8.97,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
BISCUIT 'N' GRAVY™ COMBO,7.07,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
STEAK & EGG BURRITO COMBO,10.37,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
LOADED BREAKFAST BURRITO COMBO,9.47,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
BIG COUNTRY® BREAKFAST BURRITO COMBO,9.57,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
"BACON, EGG AND CHEESE BURRITO COMBO",9.17,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
HAND-BREADED CHICKEN & WAFFLE SANDWICH,7.49,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED CHEESE BREAKFAST SANDWICH,4.99,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
SAUSAGE EGG & CHEESE BISCUIT,4.69,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
BACON EGG & CHEESE BISCUIT,4.69,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
MONSTER BISCUIT®,5.79,,CARL'S JR. (2320 E 4TH ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
