name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRENCH FRIES,5.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
HUMMUS AND GRILLED CHICKEN PLATE,16.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOUSE BAKLAVA,4.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROSEMARY LEMONADE,4.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
HUMMUS AND FRIED CHICKEN PLATE,16.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC GREEN HERB FALAFEL SANDWICH,12.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
PASTURE RAISED LAMB SANDWICH,14.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIED CHICKEN SHAWARMA SANDWICH,14.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED CHICKEN SOUVLAKI SANDWICH,14.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
PICKLED BEETS SANDWICH,13.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
HUMMUS PLATE,12.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
HUMMUS AND EGG PLATE,14.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
HUMMUS AND TABOULEH PLATE,14.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
HUMMUS AND FALAFEL PLATE,14.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
HUMMUS AND LAMB PLATE,16.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEZE PLATE (LAMB),17.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEZE PLATE (FRIED CHICKEN),17.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEZE PLATE (GRILLED CHICKEN),17.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
TABOULEH SALAD,8.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHEPHERD SALAD,8.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
FALAFEL SIDE,6.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
LAMB SIDE,10.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIED CHICKEN SIDE,10.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED CHICKEN SIDE,10.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
HUMMUS SIDE,7.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOUSE FLAT BREAD,2.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC 8 MINUTE EGG (SIDE),2.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
BULGARIAN SHEEP FETA (SIDE),4.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
PICKLED TURNIPS (SIDE),4.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
AVOCADO SIDE,2.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICED ALMONDS AND OLIVES,6.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
LABNEH,8.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROSE WATER INFUSED DATES,5.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
S'RUG,0.75,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
AMBA,0.75,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
TOUM,0.75,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
TAHINI,0.75,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY TAHINI,0.75,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHARMOULA,0.75,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
LEMON TURMERIC YOGURT,0.75,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRYSTAL HOT SAUCE,0.75,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
KETCHUP,0.75,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
MILD PEPPERS,1.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
ICED MOROCCAN MINT TEA,4.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
ARNOLD PALMER,4.0,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEXICAN COCA COLA BOTTLE,3.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
MOUNTAIN VALLEY SPRING WATER BOTTLE,3.5,,DUNE DOWNTOWN,"UBEREATS, LOS ANGELES, CA",,,,,,,
