name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FLAN,5.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP SOUP,23.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEXICAN SODA,5.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALSA,10.49,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIED PLANTAIN WITH CREAM,8.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHIPS & SALSA,15.49,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
FISH & CHIPS,17.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHIPS & GUACAMOLE,19.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
FISH SOUP,17.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
MIXED SEAFOOD SOUP,25.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CARNE ASADA BOWL,17.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN BOWL,17.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
FISH BOWL,17.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP BOWL,19.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CARNE ASADA SOFT TACO,4.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN SOFT TACO,4.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP SOFT TACO,6.49,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
FISH SOFT TACO,4.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
AVOCADO,4.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
RICE,4.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEANS,4.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRENCH FRIES,6.49,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORTILLA CHIPS,6.49,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
GUACAMOLE,17.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHEESECAKE,4.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHURRO,4.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
RICE PUDDING,4.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
BOTTLED WATER,3.49,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CANNED SODA,3.49,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
FOUNTAIN DRINK,4.99,,EXQUISITE BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
