name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
ASADA FRIES,10.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
GARLIC FRIES,5.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILI CHEESE FRIES,8.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUFFALO FRIES,9.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHEESE FRIES,6.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRENCH FRIES,4.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
TATER TOTS,6.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
BACON GUAC FRIES,9.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
BACON CHEESE FRIES,8.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
NACHO FRIES,8.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
BBQ CHICKEN FRIES,9.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
PEPSI,2.5,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
DIET PEPSI,2.5,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
HORCHATA,2.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
ORANGE WHIP,2.99,,FRIEND FRIES,"UBEREATS, LOS ANGELES, CA",,,,,,,
