name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GEORGES BURGER,6.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILI-CHEESE FRIES,7.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
-->COMBO,3.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
ONION RINGS,5.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
PASTRAMI BURGER,9.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALIFORNIA BURRITO,9.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
BREAKFAST BURRITO,8.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CARNE ASADA BURRITO,8.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
QUESADILLA,4.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEAN & CHEESE BURRITO,6.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
MARIOS SPECIAL,7.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHAKE,5.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILI BOWL REGULAR,4.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILI FRITOS REGULAR,3.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRENCH FRIES,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CARNE ASADA FRIES,9.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
PASTRAMI SANDWICH,9.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLTA,8.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED CHEESE SANDWICH,4.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
BREAKFAST SANDWICH,9.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN CLUB,9.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILI-CHEESE BURGER,8.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILL JALAPENO,1.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
RANCH REGULAR,0.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
PANCAKE BREAKFAST REGULAR,8.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE BACON,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
HASH BROWN,2.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOT DOG REGULAR,4.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILI CHEESE DOG REGULAR,7.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
COKE,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPRITE,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
DIET COKE,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHERRY FANTA,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET TEA,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
BARQS,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
LEMONADE,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
ORANGE FANTA,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
COFFEE,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
ORANGE JUICE,3.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
WATER BOTTLE,2.5,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRAPE FANTA,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHERRY COKE,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
HORCHATA,2.0,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
TOPO CHICO,2.75,,GEORGE'S BURGER STAND,"UBEREATS, LOS ANGELES, CA",,,,,,,
