name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
ACAI BOWL,12.65,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
TO - MEDI - DATE SMOOTHIE,10.95,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
POWER BOWL,7.95,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
BREAKFAST BURRITO,16.1,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOT OATMILK LATTE (MAKE NOTE IF YOU WANT IT ICED),6.65,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
YOGI JUICE,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
BRAIN JUICE,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
IMMUNE BOOST,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
SINUS JUICE,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
GLOWING JUICE,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREENERGY JUICE,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
METAL DETOX,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
THE LIVER CLEANSE,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
ANTI - INFLAMMATORY JUICE,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
THE BUDDHA BELLY,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
VENUS JUICE,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRUIT OF THE LOINS,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
SOUL JUICE,9.79,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
ITALIAN,12.09,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
AMERICAN,12.09,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
ALL VEGGIE,12.09,,GLOWING JUICES,"UBEREATS, LOS ANGELES, CA",,,,,,,
