name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GAMBAS,14.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHORT RIB CROQUETTES,8.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
MOROCCAN CHICKEN,26.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP RIGATONI,24.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
PORK BELLY CHILI COLORADO,15.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
TRUFFLE FRIES,9.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
PRESERVE PLATTER,7.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
FARM VEGETABLE,11.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHARRED EMULSION POTATOES,9.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
KALE SALAD,13.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEET & QUINOA SALAD,13.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
THE GREEK SALAD,12.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED ORA KING SALMON,28.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHEVRE GNOCCHI,21.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEER BATTERED FISH N’ CHIPS,17.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILI SPICED CHOCOLATE TART,7.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
CLASSIC CHEESECAKE WITH SEASONAL BERRIES,7.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
TIRAMISU,7.99,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
COKE,2.0,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
DIET COKE,2.0,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPRITE,2.0,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
ACQUA PANNA,5.0,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
PELLEGRINO,5.0,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
RED BULL,6.0,,GRAND AND 6TH,"UBEREATS, LOS ANGELES, CA",,,,,,,
