name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BEN & JERRY’S CHOCOLATE CHIP COOKIE DOUGH (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
TATE'S BAKE SHOP CHOCOLATE CHIP COOKIES (7 OZ),7.99,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
VAN LEEUWEN RASPBERRY CHEESECAKE ICE CREAM BAR (4 BARS),12.0,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
GUSHERS SUPER SOUR BERRY (4.25 OZ),3.49,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
VAN LEEUWEN VANILLA CARAMEL SWIRL ICE CREAM BAR (4 BARS),12.0,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY’S AMERICONE DREAM (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY’S MINT CHOCOLATE COOKIE (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY’S HALF BAKED (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY’S BROWNIE BATTER (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY’S CHOCOLATE FUDGE BROWNIE (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY’S MILK & COOKIES (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY’S STRAWBERRY CHEESECAKE (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY’S TONIGHT DOUGH (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S CHERRY GARCIA (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S NETFLIX & CHILL'D (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S PHISH FOODS (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S TOPPED SALTED CARAMEL BROWNIE (1 PINT),6.79,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
TALENTI LAYERS GELATO CONFETTI COOKIE (1 PINT),7.49,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
TALENTI GELATO LAYERS SALTED CARAMEL TRUFFLE (1 PINT),6.99,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
TALENTI GELATO CARAMEL COOKIE CRUNCH (1 PINT),6.99,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
TALENTI GELATO MEDITERRANEAN MINT (1 PINT),7.29,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BREYERS BLASTS OREO COOKIES & CREAM (1 PINT),4.59,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BREYERS NATURAL VANILLA (1 PINT),4.99,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
JENI'S BROWN BUTTER ALMOND BRITTLE ICE CREAM (1 PINT),12.0,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
JENI'S DARKEST CHOCOLATE ICE CREAM (1 PINT),12.0,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
JENI'S BRAMBLEBERRY CRISP ICE CREAM (1 PINT),12.0,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
JENI'S SKILLET CINNAMON ROLL ICE CREAM (1 PINT),12.0,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
RORI'S FRESH MINT PATTY (1 PINT),13.75,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
RORI'S MALTED BALL (1 PINT),13.75,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
RORI'S MILK CHOCOLATE CHUNK (1 PINT),13.75,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
RORI'S NY STRAWBERRY CHEESECAKE (1 PINT),13.75,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
RORI'S PB CHOCOLATE CANDY SWIRL (1 PINT),13.75,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
RORI'S SALTED CARAMEL (1 PINT),13.75,,NEIGHBORHOOD SCOOPS (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
