name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BEN & JERRY'S HALF BAKED (1 PINT),6.79,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S PHISH FOODS (1 PINT),6.79,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
NUNBELIEVABLE ASSORTED PACK COOKIES (6 COUNT),18.49,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
NUNBELIEVABLE OATMEAL RAISIN COOKIES BOX (6 COUNT),18.49,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
NUNBELIEVABLE KETO PECAN SANDY COOKIES (3.4 OZ),6.99,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
NUNBELIEVABLE PEANUT BUTTER COOKIES BOX (6 COUNT),18.49,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
NUNBELIEVABLE CHOCOLATE CHIP COOKIE (1 COUNT),3.16,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
NUNBELIEVABLE PEANUT BUTTER COOKIE (1 COUNT),3.16,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
NUNBELIEVABLE DOUBLE CHOCOLATE GLUTEN FREE COOKIE (1 COUNT),3.16,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
NUNBELIEVABLE KETO CHOCOLATE CHIP COOKIES (3.4 OZ),6.99,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
EVIAN SPRING WATER (1 L),2.99,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
FIJI WATER (1 L),2.99,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S CHERRY GARCIA (1 PINT),6.79,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S NETFLIX & CHILL'D (1 PINT),6.79,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S STRAWBERRY CHEESECAKE (1 PINT),6.79,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
BREYERS NATURAL VANILLA (1 PINT),4.99,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
JENI'S BROWN BUTTER ALMOND BRITTLE ICE CREAM (1 PINT),10.0,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
JENI'S DARKEST CHOCOLATE ICE CREAM (1 PINT),10.0,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
TALENTI DAIRY FREE SORBETTO ROMAN RASPBERRY (1 PINT),6.99,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
FERRERO ROCHER FINE HAZELNUT CHOCOLATES (3 COUNT),2.29,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
KIT KAT MINIS POUCH (7.6 OZ),5.99,,NUNBELIEVABLE (LAX03-1),"UBEREATS, LOS ANGELES, CA",,,,,,,
