name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
DAN DAN NOODLES,8.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY SHRIMP WONTONS,8.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
THREE CUP JIDORI CHICKEN,14.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF ROLL,7.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
YU CHOY,9.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
WOODEAR MUSHROOM,3.75,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SEAWEED,3.75,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY PEANUTS,5.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SCALLION PANCAKE,5.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
TAIWANESE SAUSAGE,5.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BOK CHOY POTSTICKERS,7.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
PORK POTSTICKERS,8.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINCED PORK ON RICE,8.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
PORK MAPO TOFU,12.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGAN MAPO TOFU,12.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
THREE CUP MUSHROOM,13.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BASIL EGGPLANT,13.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE OF WHITE RICE,2.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
MAKE YOUR OWN DAN DAN,8.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF NOODLE SOUP,10.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
WONTON NOODLE SOUP,9.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
THIN NOODLES,2.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
THICK NOODLES,2.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
ICED TEA,3.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
PASSIONFRUIT TEA,3.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SEA SALT CREAM TEA,4.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
TARO MILK TEA,4.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
MILK TEA,3.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
WENSHAN BAOZHONG (HOT),4.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHAN LIN XI (HOT),5.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
ALI SHAN JIN XUAN (HOT),4.5,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
DONG DING (HOT),4.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
EASTERN BEAUTY (HOT),5.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
RUBY BLACK (HOT),4.0,,PINE AND CRANE,"UBEREATS, LOS ANGELES, CA",,,,,,,
