name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CONCHITAS (DOZEN) (DOCENA DE CONCHITAS),7.0,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
LEAF CAKE (SLICE) (MIL HOJAS (REBANADA),2.99,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEXICAN SURPRISE BREAD BOX (18 PIECES) (CAJA SORPRESA DE PAN MEXICANO (18 PIEZAS),23.0,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
PINGUINS (PINGUINOS),1.99,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHOCOLATE CAKE (SLICE) (PASTEL DE CHOCOLATE (REBANADA),2.99,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
NEAPOLITAN FLAN (FLAN NAPOLITANO),2.99,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
THREE MILKS CAKE (PASTEL TRES LECHES),2.99,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
VANILLA (VAINILLA),2.0,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
EMPANADA RICE PUDDING WITH MILK (EMPANADA DE ARROZ CON LECHE),2.0,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
COMBO NUMBER ONE (COMBO NUMERO UNO),22.0,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
COMBO NUMBER TWO (COMBO NUMERO DOS),28.0,,RENE'S BAKERY,"UBEREATS, LOS ANGELES, CA",,,,,,,
