name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PROTEIN PLATE,14.4,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN SHAWAFEL,15.6,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
MAKE YOUR OWN PLATE,14.4,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN SHAWARMA,13.2,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGAN PLATE,13.2,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
FALAFEL,12.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
STEAK SHAWARMA,14.4,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
STEAK SHAWAFEL,15.6,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN KABOB,15.6,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
POMEGRANATE CHICKEN,13.2,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
FAMILY MEAL FOR 4,35.95,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
TRADITIONAL FALAFEL PITA,12.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
TRADITIONAL CHICKEN SHAWARMA WRAP,13.2,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
TRADITIONAL STEAK SHAWARMA WRAP,14.4,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
TRADITIONAL BOWL,12.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
PALEO SALAD BOWL,14.7,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
KETO SALAD BOWL,16.2,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
DOUBLE PROTEIN GRAIN BOWL,19.5,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
FALAFEL SIDE,4.75,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
PITA CHIPS,2.4,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
PITA BREAD,1.5,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIES,3.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
LENTIL SOUP,3.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN SIDE,4.75,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
STEAK SIDE,4.75,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC LEMONADE,3.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC BLACKBERRY,3.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC MANDARIN CARDAMOM,3.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC HIBISCUS,3.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC BLOSSOM 'N SPICE,3.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC GREEN TEA,3.0,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
SAJJ BOTTLED WATER,2.7,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
SODA,2.7,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
IZZE SPARKLING JUICE,3.6,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
PERRIER SPARKLING WATER,3.6,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
TEJAVA ICED TEA,3.6,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHOCOLATE HUMMUS & CINNAMON CHIPS,3.6,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
BAKLAVA,2.4,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
COOKIE,2.4,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
KIDS RICE BOWL,5.95,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHEESE QUESADILLA,5.95,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
MAC & CHEESE,5.95,,SAJJ MEDITERRANEAN (LA FIDI),"UBEREATS, LOS ANGELES, CA",,,,,,,
