name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
KOREAN FRIED CHICKEN,5.5,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
KOREAN FRIED PYOGO MUSHROOM (VEGAN),6.5,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
GAMCHIL FRENCH FRIES,3.5,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
TEMPLE TANGSU,13.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
LA GALBI,16.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
KIMCHI BRAISED PORK BELLY,13.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
MAEKJUK CHICKEN,12.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
BAECHU KIMCHI BOKKEUM (배추 김치 볶음),3.5,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHWINAMUL (취나물),5.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
JINMICHAE BOKKEUM WITH TOASTED PEANUT (진미채 땅콩 볶음),6.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
WHITE RICE,2.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
MUSAENGCHAE (무생채),3.5,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
MYULCHI SAEWOO BOKKEUM WITH WALNUT (잔멸치새우 호두 볶음),6.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
SEAWEED JAPCHAE 김당면,6.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
KOREAN SODA,2.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEXICAN COKE,2.5,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
TOPO CHICO,2.0,,SHIKU,"UBEREATS, LOS ANGELES, CA",,,,,,,
