name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SUPER SMASH CHEESEBURGER COMBO,9.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH TRIPLE BACON CHEESEBURGER COMBO,16.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH BACON CHEESEBURGER COMBO,10.5,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRISPY ONION RINGS SIDE,4.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH BBQ BACON CHEESEBURGER,8.5,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH HAMBURGER,5.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH CHEESEBURGER,5.5,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH BACON CHEESEBURGER,7.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH JALAPENO BACON CHEESEBURGER,7.5,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH MUSHROOM SWISS CHEESEBURGER,7.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH AVOCADO BURGER,8.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH TRIPLE BACON CHEESEBURGER,12.5,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH HAMBURGER COMBO,8.5,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH JALAPENO BACON CHEESEBURGER COMBO,11.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH MUSHROOM SWISS CHEESEBURGER COMBO,10.5,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH AVOCADO BURGER COMBO,11.5,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER SMASH BBQ BACON CHEESEBURGER COMBO,12.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIES,3.5,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHEESE FRIES,6.25,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
BACON CHEESE FRIES,7.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
JALAPENO BACON CHEESE FRIES,7.5,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SMASH BACON CHEESEBURGER FRIES,8.25,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
EXTRA DIPPING SAUCE,1.0,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
MELTED CHEESE SAUCE SIDE,2.75,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
COKE,2.99,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
DIET COKE,2.99,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPRITE,2.99,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
DR PEPPER,2.99,,SUPER SMASH BURGERS,"UBEREATS, LOS ANGELES, CA",,,,,,,
