name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SALMON AVOCADO ROLL,9.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP TEMPURA ROLL,10.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUE CRAB H.R.,9.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
OMAKASE DEL REY SIGNATURE,70.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY TUNA ROLL,9.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
ULTIMATE TUNA LOVER BOX,55.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
DEL O’ROLL,47.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
THE RAINBOW SET,47.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BURN BABY BURN,39.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON SUPERB,42.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
I GOT YOU!,38.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SELECT DEL REY,35.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHOICE DEL REY,37.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
PRIME DEL REY,39.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI ULTIMATE CHIRASHI,30.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
ULTIMATE CHIRASHI BOWL,55.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
ULTIMATE CHIRASHI BOX,55.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI CHIRASHI BOX,30.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SCALLOP IKURA BOX,20.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON IKURA BOX,15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
UNAGI BOX,15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED CHICKEN SET,14.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED SALMON SET,16.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED STEAK SET,16.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
ASSORTED SASHIMI SET,20.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED SALMON COLLAR SET,12.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP TEMPURA,6.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
TRUFFLE OIL EDAMAME,5.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
TUNA ON FIRE,5.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
EDAMAME,3.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
GARLIC EDAMAME,4.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRISPY RICE SPICY TUNA,7.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGGIE GYOZA,5.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SEAWEED & CUCUMBER SALAD,5.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN KARAGE,7.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON COLLAR,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUE CRAB SALAD,17.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRESH TOFU SALAD,11.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SASHIMI SALAD,17.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
OTORO SASHIMI,20.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUE FIN TUNA SASHIMI,18.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
YELLOWTAIL SASHIMI,18.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON SASHIMI,15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
ALBACORE SASHIMI,15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
FULLY LOADED SASHIMI TRAY,120.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUE FIN TUNA CARPACCIO SASHIMI [ 7 PIECES ],18.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
YELLOWTAIL CARPACCIO SASHIMI [ 7 PIECES ],18.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON CARPACCIO SASHIMI [ 7 PIECES ],15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
ALBACORE TUNA CARPACCIO SASHIMI [ 7 PIECES ],15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SCALLOP CARPACCIO SASHIMI [ 6 PIECES ],15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORO,13.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
IKURA,10.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUE FIN TUNA NIGIRI,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
YELLOWTAIL NIGIRI,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON NIGIRI,7.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SEARED ALBACORE NIGIRI,7.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRESH WATER EEL NIGIRI,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SCALLOP NIGIRI,10.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET SHRIMP NIGIRI,12.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
UNI NIGIRI,16.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BIGEYE TUNA CUT ROLL,9.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRAB MEAT AVOCADO ROLL,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUE CRAB AVOCADO ROLL,11.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
ORANGE WAVE ROLL,16.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
RED WAVE ROLL,16.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
DRAGON ROLL,16.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPIDER ROLL,15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
GARLIC ALBA ROLL,15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
YELLOWTAIL JALAPENO ROLL,15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON LOVER ROLL,16.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPECIAL SPICY TUNA ROLL,14.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BAKED SALMON ROLL,15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
JAPANESE LASAGNA ROLL,13.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SCALLOP TEMPURA ROLL,12.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
ORANGE BLOSSOM ROLL,18.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPECIAL SHRIMP TEMPURA ROLL,14.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CLAYMORE BAKED ROLL,15.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPECIAL SALMON TEMPURA ROLL,14.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
RICE,3.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUSHI SAUCE,1.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY MAYO,1.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
GINGER,1.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRESH WASABI,1.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CITRON PEPPER,1.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BOTTLED WATER,3.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CANNED SODA,3.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CANNED GREEN TEA,4.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
PERRIER SPARKLING WATER,4.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
KIMINO YUZU SPARKLING JUICE,5.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
FULLY LOADED SASHIMI,120.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SO FAR SO GOOD !! [ SUSHI ROLL ],140.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
THIS IS THE BOMB !! [ SUSHI SPECIAL ROLLS ],175.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
OMG FULLY LOADED SUSHI !!,155.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
LET'S ROLL THE PARTY !!,109.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
AVOCADO CUT ROLL,6.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CUCUMBER CUT ROLL,6.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORO CUT ROLL,11.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
NEGI TORO CUT ROLL,11.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUE CRAB CUT ROLL,9.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
YELLOWTAIL CUT ROLL,9.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUE FIN TUNA CUT ROLL,9.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON CUT ROLL,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
YT H.R.,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGGIE H.R.,6.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY YT H.R.,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY TUNA H.R.,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP TEMPURA H.R.,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRAB MEAT H.R.,7.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
NEGI TORO H.R.,9.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
MASAGO SCALLOP H.R.,8.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
UNAGI H.R.,7.0,,SUSHI DEL REY,"UBEREATS, LOS ANGELES, CA",,,,,,,
