name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HAPPIER HOUR® BEVERAGE,1.2,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHEESY GORDITA CRUNCH,4.79,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
CRUNCHWRAP SUPREME®,5.87,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
CINNABON DELIGHTS® 12 PACK,6.71,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHALUPA SUPREME,4.79,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN QUESADILLA,5.75,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
GRANDE CRUNCHWRAP,4.19,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
GRANDE CRUNCHWRAP MEAL,7.19,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
GRANDE NACHOS BOX,6.0,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
BAJA BLAST® COLADA FREEZE,3.59,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
TACO & BURRITO CRAVINGS PACK,12.0,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
TACO PARTY PACK,22.55,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
SOFT TACO PARTY PACK,22.55,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPREME TACO PARTY PACK,26.39,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPREME SOFT TACO PARTY PACK,26.39,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
3 DORITOS® LOCOS TACOS COMBO,8.63,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
3 DORITOS® LOCOS TACOS SUPREME COMBO,9.95,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
3 CRUNCHY TACOS SUPREME® COMBO,9.59,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
3 CRUNCHY TACOS COMBO,8.39,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
3 SOFT TACOS SUPREME® COMBO,9.59,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
3 SOFT TACOS COMBO,8.39,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
BURRITO SUPREME® COMBO,9.59,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
CRUNCHWRAP SUPREME® COMBO,9.59,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
NACHOS BELLGRANDE® COMBO,10.07,,TACO BELL (103 S RAMPART BLVD),"UBEREATS, LOS ANGELES, CA",,,,,,,
