name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
44 TAKOYAKI,18.9,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ORIGINAL TAKOYAKI,8.9,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIES(NORI-SHIO),5.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
PARTY TAKOYAKI,25.5,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TAKOYAKI BENTO (A),11.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
JALAPENO TAKOYAKI,8.9,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
PONZU TAKOYAKI,9.25,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
WASABI TAKOYAKI,9.25,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
MENTAIKO TAKOYAKI,9.5,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
GOMA TAKOYAKI,8.9,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
PT TAKOYAKI,11.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
HALF AND HALF TAKOYAKI,10.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
AGEDASHI TAKOYAKI,7.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHISHITO PEPPERS,6.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
AVOCADO KOMBU,6.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
AGEDASHI TOFU,7.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIED KARA-AGE CHICKEN,8.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
NAMASU,3.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TAKOYAKI BENTO (B),12.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIED KARA-AGE CHICKEN DON,10.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
PORK CUTLET BOWL,12.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
GOMOKU RICE,9.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TOFU SEAWEED SALAD,10.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALAMARI SALAD,10.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
OSUIMONO,3.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHASHU PORK BELLY DON,12.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRESH SQUEEZED LEMONADE,4.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
MATCHA LEMONADE,4.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
STRAWBERRY LEMONADE,4.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ICHIGO LATTE,5.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
MATCHA LATTE,5.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOUJICHA LATTE,5.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
COKE,2.5,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
DIET COKE,2.5,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
7UP,2.5,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALPICO,2.5,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ICED GREEN TEA,2.5,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
OOLONG TEA,2.5,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
FROZEN TAKOYAKI,26.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TAKOYAKI HOME KIT,38.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TAKOYAKI ELECTRIC HOTPLATE,50.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TANOTA ORIGINAL SAUCE,10.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TANOTA MENTAIKO SAUCE,17.5,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TANOTA JALAPENO SAUCE,10.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN PAITAN RAMEN,13.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHASHU CHICKEN PAITAN RAMEN,17.0,,TANOTA TAKOYAKI,"UBEREATS, LOS ANGELES, CA",,,,,,,
