name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SHRIMP CRUNCH ROLL,11.94,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEXICAN ROLL,15.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
MIXED TEMPURA,10.29,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
BAKED SALMON ROLL,15.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
RAINBOW ROLL,16.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ONE ITEM BENTO BOX,17.94,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TWO ITEM BENTO BOX,20.34,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SASHIMI LUNCH SPECIAL,21.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
UNA JYU LUNCH,19.14,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRAZY COMBO LUNCH,21.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
BULGOGI BOWL LUNCH,10.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
STEAK TERIYAKI BOWL LUNCH,11.94,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY PORK BOWL LUNCH,10.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN BOWL LUNCH,9.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
KATSU-DON,13.14,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
LITTLE TOKYO ROLL,16.2,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
YELLOWROSE ROLL,15.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ALASKA ROLL,15.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ALBACORE DELUXE ROLL,16.2,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
BENJIE ROLL,19.14,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
BORA BORA LUAU ISLAND,21.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALIENTE ROLL,17.7,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRAZY ROLL,11.94,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CUCUMBER SPECIAL ROLL,18.9,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
EX-GIRLFRIEND ROLL,17.94,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
GIANT SALMON ROLL,19.14,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
HAWAIIAN ROLL,16.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
PHILADELPHIA ROLL,15.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
PINK LADY ROLL,17.7,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
PLAY BOY ROLL,17.4,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
RED DRAGON ROLL,16.5,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROLL UP ROLL,19.14,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SNOW WHITE ROLL,16.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ANGRY HULK ROLL,17.7,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLACK TIGER ROLL,16.5,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLOOMING ALBACORE (NO RICE ROLL),18.9,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALAMARI TEMPURA ROLL,15.9,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALIFORNIA TEMPURA ROLL,11.7,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAPTAIN AMERICA ROLL,20.34,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRISPY RICE SPICY TUNA,16.14,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRISPY SCALLOP ROLL,16.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRUNCH SPIDER ROLL,17.1,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
EEL AND TEMPURA ROLL,17.94,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
FANTASY ROLL,17.4,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
FIRE DRAGON ROLL,16.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
GOLDEN TIGER ROLL,17.4,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ISLAND ROLL,18.9,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
JALAPENO BOMB CRUNCH ROLL,18.9,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
POPCORN ROLL,16.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROLCE ROYZ ROLL,18.6,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SAMURAI ROLL,16.5,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP KILLER ROLL,16.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY TUNA TEMPURA ROLL,11.7,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPIDER ROLL,15.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER CRUNCH ROLL,15.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET CHILI SHRIMP ROLL,17.1,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TNT ROLL,14.34,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORNADO ROLL,16.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TRUFFLE HUNTER ROLL,17.94,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGAS ROLL,11.94,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ENERGY ROLL,18.6,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CONE HEAD ROLL,15.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
ULTIMATE CRUNCHY ROLL,17.94,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
BSCR ROLL,16.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
BABY ROCKSTAR ROLL,17.94,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALI-LAND ROLL,10.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CATERPILLAR ROLL,15.54,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
KING'S ROLL,18.6,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY CATERPILLAR ROLL,16.74,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TIGER ROLL,16.2,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
VOLCANO ROLL,19.14,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALIFORNIA ROLL,7.5,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY TUNA ROLL,8.34,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY ALBACORE ROLL,8.34,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
TUNA ROLL,8.34,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON ROLL,7.5,,TENNO SUSHI,"UBEREATS, LOS ANGELES, CA",,,,,,,
