name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BROWN SUGAR DEERIOCA MILK REGULAR,5.45,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
BROWN SUGAR DEERIOCA MILK LARGE,5.95,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
COCOA BROWN SUGAR DEERIOCA MILK REGULAR,5.45,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
COCOA BROWN SUGAR DEERIOCA MILK LARGE,5.95,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
MATCHA BROWN SUGAR DEERIOCA MILK REGULAR,5.45,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
MATCHA BROWN SUGAR DEERIOCA MILK LARGE,5.95,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
BROWN SUGAR DEERIOCA CREME BRULEE MILK REGULAR,5.45,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
BROWN SUGAR DEERIOCA CREME BRULEE MILK LARGE,5.95,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
PEACH OOLONG TEA REGULAR,4.95,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
PEACH OOLONG TEA LARGE,5.45,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROYAL NO. 9 BLACK TEA REGULAR,3.95,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROYAL NO. 9 BLACK TEA LARGE,4.95,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
THE ALLEY ASSAM BLACK TEA REGULAR,3.95,,THE ALLEY - HOLLYWOOD,"UBEREATS, LOS ANGELES, CA",,,,,,,
