name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN BOWL,8.95,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN & BEEF BOWL,9.75,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
ANGUS BEEF BOWL,9.95,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN PLATE,11.25,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN AND BEEF PLATE,12.95,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN MINI,6.35,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
ANGUS BEEF MINI,7.95,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN & BEEF MINI,7.35,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC TOFU MINI,6.95,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC TOFU BOWL,9.5,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
ANGUS BEEF PLATE,13.5,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
ORGANIC TOFU PLATE,11.5,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
BOTTLED WATER,2.5,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CANNED COKE,2.35,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CANNED DIET COKE,2.35,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CANNED SPRITE,2.35,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE OF CHICKEN,4.75,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE OF ANGUS BEEF,6.95,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE OF WHITE MEAT CHICKEN,4.75,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE OF ORGANIC TOFU,4.95,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE OF VEGETABLES,4.25,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE OF BROWN RICE,3.95,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE OF WHITE RICE,3.95,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SEAWEED SNACKS,1.5,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
KIMCHI,2.35,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
PACKAGE A,80.0,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
PACKAGE B,115.0,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
PACKAGE C,155.0,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
PACKAGE D,200.0,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
PACKAGE E,245.0,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
TRAY OF AVOCADO,20.0,,THE FLAME BROILER (659 SOUTH FLOWER STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
