name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
2 TACO CONSOMMÉ COMBO,13.33,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
PERRIER SPARKLING WATER,3.06,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF BIRRIA TACO,4.58,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
BARBACOA BIRRIA TACO,4.58,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGGIE TACO,3.71,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
CARNE ASADA TACO,4.58,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
CARNITAS TACO,4.34,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHORIZO TACO,4.34,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
BIRRIA STEW,8.08,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
2 TACO COMBO,8.96,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
TACO CONSOMMÉ,8.96,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
TOSTADA,5.25,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHEESE QUESADILLA,8.71,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
BIRRIA QUESADILLA,10.46,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
BIRRIA BOWL,10.5,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
BIRRIA FRIES,8.71,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
REFRIED BEANS,2.83,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
RICE,2.83,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHIPS AND GUAC,6.33,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHIPS AND SALSA,3.71,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE OF SOFT TORTILLAS (2),1.96,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE OF CRISPED TORTILLAS (2),1.96,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
WATER,2.18,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
PEPSI,2.18,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
DIET PEPSI,2.18,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
LEMONADE,2.18,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
ICED TEA,2.18,,BIRRIA HANDS (701 W CESAR ESTRADA CHAVEZ AVE SPACE 108),"UBEREATS, LOS ANGELES, CA",,,,,,,
