name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
"HUEVOS ESTRELLADOS, CHORIZO Y QUESO",10.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
"PLATANITO FRITO, FRIJOL Y CREMA",7.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
"HUEVOS RANCHEROS, FRIJOL Y CREMA..",9.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
"CHORIZO REVUELTO CON HUEVOS, FRIJOL Y QUESO",9.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
"PAPAS REVUELTAS CON HUEVOS, FRIJOL Y QUESO",9.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
"EJOTES REVUELTOS CON HUEVOS, FRIJOL Y QUESO",9.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
"CHILAQUILES, HUEVOS ESTRELLADAS Y FRIJOL",12.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
EL TIPICO,13.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
SOPA DE GALLINA,13.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
SOPA DE RES,13.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
PATA DE PATA (SOPA DE PATA),13.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
SOPA DE 7 MARES,17.99,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEAT ASADA (CARNE ASADA),12.5,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BISTEC ENSEBOLLADO,13.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
STEAK PICADO,13.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CIELO MAR Y TIERRA,15.5,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILE RELLENO CON QUESO,12.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILE RELLENO CON MEAT (CHILE RELLENO CON CARNE),12.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
RELLENO DE PACAYA,10.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN IN THE MOUNTAIN (POLLO A LA PLANCHA),13.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN FAJITAS (FAJITAS DE POLLO),13.0,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEAT GUISADA (CARNE GUIZADA),12.5,,DEIDAD RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
