name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
STICKY RIBS,24.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
DISTRICT CRISPY FISH TACOS,16.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED ATLANTIC SALMON,20.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
DISTRICT CHICKEN WINGS,14.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
HERB GRILLED NY STEAK,33.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
YUCCA FRIES,9.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
TRADITIONAL HUMMUS PLATE,12.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CLASSIC CAESAR SALAD,14.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
WINTER TUSCAN KALE SALAD,16.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
TRUFFLE-PARMESAN FRIES,10.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
SEARED AHI TUNA SALAD,21.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROASTED CAGE FREE CHICKEN (1/2),20.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
DISTRICT BURGER,20.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALI BURGER,19.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
ANGRY CHICKEN SANDWICH,18.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROASTED TURKEY CLUB,15.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BALLERINE PASTA,20.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHOCOLATE CHIP COOKIE PIZOOKIE,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CLASSIC NY STYLE CHEESECAKE,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRISPY FRIES,5.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET POTATO FRIES,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
MACARONI AND CHEESE,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
COLESLAW,5.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
HARVEST VEGETABLES,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
WHIPPED POTATOES,5.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
PEPSI,3.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
DIET PEPSI,3.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
SIERRA MIST,3.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
ICED TEA,3.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
VOSS BOTTLED WATER,8.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
COFFEE,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
DECAF COFFEE,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOT TEA,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAPPUCINO,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAFÉ LATTE,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
ESPRESSO,6.0,,DISTRICT RESTAURANT,"UBEREATS, LOS ANGELES, CA",,,,,,,
