name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
LA CROIX,13.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
SLIM MASTER JUICE,8.95,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S CHOCOLATE FUDGE BROWNIE 1 PINT,6.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S CHOCOLATE CHIP COOKIE DOUGH 1 PINT,6.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S TONIGHT DOUGH 1 PINT,6.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
PERRIER (25 OZ),3.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S HALF BAKED 1 PINT,6.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S CHERRY GARCIA 1 PINT,6.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEN & JERRY'S PHISH FOOD 1 PINT,6.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
FIJI WATER,4.5,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
PELLEGRINO (750 ML),3.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
SODA (20 OZ),1.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
SODA (2 LITER),3.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
ZEVIA ORGANIC - GREEN TEA,2.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
ZEVIA ORGANIC - RASPBERRY BLACK TEA,2.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPARKLING YUZU SODA,4.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPARKLING UME SODA,4.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
KIMINO SPARKLING MIKAN (MANDARIN),4.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
KIMINO SPARKLING RINGO (FUJI APPLE),4.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
KIMINO SPARKLING YUZU (CITRUS) WATER,3.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
KIMINO SPARKLING UME (PLUM) WATER,3.99,,DRUNCHY'S,"UBEREATS, LOS ANGELES, CA",,,,,,,
