name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TRUFFLE FRIES,10.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
GARLIC KNOTS,6.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIED MOZZARELLA,8.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
ONION RINGS,8.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOMEMADE MEATBALLS (3),10.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
JALAPENO POPPERS,7.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
NOAH'S CAESAR SALAD,7.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOUSE SALAD,6.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
BURRATA SALAD,10.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAPRESE SALAD,10.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
POP'S LASAGNA PASTA,15.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAJUN CHICKEN PASTA,13.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
PROPER PASTA,13.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOMEMADE CHEESE RAVIOLI PASTA,13.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF BOLOGNESE PASTA,13.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
PESTO PASTA,13.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
PENNE VODKA PASTA,13.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPAGHETTI AND MEATBALLS,13.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP SCAMPI,15.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN ALFREDO,13.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
WINGS BONE-IN,14.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
BONELESS WINGS,12.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALZONE,12.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
STROMBOLI,12.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CREATE YOUR OWN PASTA,10.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
12'' GLUTEN FREE PIZZA,14.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
14'' CREATE YOUR OWN PIZZA,14.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
20'' CREATE YOUR OWN PIZZA,20.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHEESE PIZZA,14.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
PEPPERONI PIZZA,16.0,,EAT PROPER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
