name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
2. HUEVOS RANCHEROS,12.5,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
QUESO CON LOROCO PUPUSAS,4.25,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
11. BRISKET ENCEBOLLADO COMBO,20.65,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
31. SOPA DE PATA,13.75,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
20. CHILE RELLENO DE POLLO,13.75,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
PAN CON POLLO,9.25,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
PASTELES DE CARNE DE PUERCO,7.69,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
PASTELES DE POLLO,7.69,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
EMPANADAS DE LECHE,7.69,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
TAMALES DE CHIPILIN CON FRIOL,2.5,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
TAMALES DE POLLO,2.5,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
TAMALES DE ELOTE,2.5,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
YUCA FRITA CON CHICHARRON,13.15,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
PLATANO FRITO CON FRIJOLES Y CREMA,12.29,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
32. SOPA DE POLLO,13.75,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
33. SOPA DE GALLINA,16.25,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
34. SOPA DE RES,13.75,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
35. SOPA DE CAMARON,13.75,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
36. SOPA DE PESCADO,15.35,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
37. SOPA DE PESCADO CON CAMARON,18.75,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
38. SOPA DE MARISCOS,17.5,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
39. SOPA DE CHIPLIN CON COSTILLAS DE PUERCO,13.75,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
40. SOPA DE CHORIZO CON HUEVO,13.75,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
1. HUEVOS REUELTOS,12.5,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
3. HUEVOS ESTRELLADOS CON 2 CHORIOZS ASADOS CON CASAMIENTO O FRIJOLES,15.0,,EL MAJAHUAL PUPUSERIA (1925 W TEMPLE ST),"UBEREATS, LOS ANGELES, CA",,,,,,,
