name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
ORIGINAL FATBURGER (1/3LB) MEAL,12.5,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
LARGE FATBURGER (1/2 LB.),8.25,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
LARGE FATBURGER (1/2LB) MEAL,14.0,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
IMPOSSIBLE BURGER,10.25,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
IMPOSSIBLE BURGER MEAL,16.0,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
KING'S HAWAIIAN GRILLED PINEAPPLE BURGER,8.99,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
PINEAPPLE SHAKE,4.5,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
ORIGINAL FATBURGER (1/3 LB.),6.75,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
XXL FATBURGER (1LB),10.5,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
XXXL FATBURGER (1.5LB),12.75,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
1000 ISLAND FATBURGER,7.25,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGGIEBURGER,7.25,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
TURKEYBURGER,6.75,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
SKINNYBURGER,8.25,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
WESTERN BACON BBQ FATBURGER,8.25,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN SANDWICH,7.75,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
XXL FATBURGER (1LB) MEAL,16.25,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
XXXL FATBURGER (1.5LB) MEAL,18.5,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
1000 ISLAND FATBURGER MEAL,13.0,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGGIEBURGER MEAL,13.0,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
TURKEYBURGER MEAL,12.5,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
SKINNYBURGER MEAL,14.0,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
WESTERN BACON BBQ FATBURGER MEAL,13.5,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN SANDWICH MEAL,13.5,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
KID'S MEAL,10.75,,FATBURGER & BUFFALO'S EXPRESS (3150 WILSHIRE BLVD.),"UBEREATS, LOS ANGELES, CA",,,,,,,
