name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SPICY BUFFALO WINGS,12.59,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
ISLAND BBQ WINGS,12.59,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
K POP WINGS,12.59,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOT KUSAMA WINGS,12.59,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
LEMON ZINGER WINGS,12.59,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED WINGS,12.59,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
REGULAR FRIES,4.0,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET POTATO FRIES,4.0,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN WONTONS (8 PCS),11.24,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGAN WONTONS (8 PCS),13.04,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN MEATBALL SKEWERS (4 PCS),12.64,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
PORK SAUSAGE SKEWERS (4 PCS),14.54,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
MARINATED TOFU SKEWERS (4 PCS),12.64,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGAN CAESAR BOWL,6.49,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
ASIAN SALAD BOWL,6.49,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
POWER GREENS,7.39,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED VEGAN BOWL WITH SHIMEJI MUSHROOMS AND CABBAGE,17.0,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
MISO SOUP,3.0,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
WHITE RICE,2.24,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
BROWN RICE,2.24,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CABBAGE SALAD,3.0,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
PICKLED DAIKON,4.0,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY CUCUMBER,4.0,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOUSE PICKLES,5.0,,HAPPY AFTER® HOT WINGS & VEGAN BOWLS,"UBEREATS, LOS ANGELES, CA",,,,,,,
