name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SPICY PAD THAI,13.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY PAD ZEE EW,13.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY THAI FRIED RICE,12.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY BROCCOLI FRIED RICE,12.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY TOM KHA SOUP,12.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
THAI DIM SUM,8.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGGIE DUMPLINGS,7.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPRINGS ROLLS,8.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
THAI WINGS,8.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
HEAVENLY BEEF AND STICKY RICE,9.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
CRISPY TOFU,7.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
WOK CHARRED GREEN BEANS,7.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY GREEN CURRY,16.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY PANANG CURRY,16.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY BASIL FRIED RICE,12.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY GREEN CURRY FRIED RICE,12.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY DRUNKEN NOODLE,13.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY CRAB NOODLE,18.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY TOM YUM SOUP,11.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
JASMINE RICE,2.5,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
MIXED RICE (BROWN AND RED),3.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
STICKY RICE,3.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROTI SAND SUGAR & CONDENSED MILK,7.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
STICKY RICE WITH MANGO (SEASONAL),9.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
THAI ICED TEA,4.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
THAI ICED COFFEE,4.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
ICED GREEN TEA WITH HONEY,3.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
LYCHEE DRINK,3.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
COKE,3.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPRING WATER,4.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPARKLING WATER,4.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
OLIANG - THAI ICED COFFEE,4.0,,HOT THAI PAD,"UBEREATS, LOS ANGELES, CA",,,,,,,
