name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CAULIFLOWER CRUST CHEESE PIZZA (MEDIUM),23.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAULIFLOWER CRUST PEPPERONI PIZZA (MEDIUM),25.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAULIFLOWER CRUST VEGAN CHEESE PIZZA (MEDIUM),30.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAULIFLOWER CRUST VEGAN CHEESE VEGGIE PIZZA (MEDIUM),31.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAULIFLOWER CRUST VEGGIE PIZZA (MEDIUM),28.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAULIFLOWER CRUST SUPREME PIZZA (MEDIUM),33.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAULIFLOWER CRUST MEAT LOVERS PIZZA (MEDIUM),31.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAULIFLOWER CRUST BBQ CHICKEN PIZZA (MEDIUM),28.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAULIFLOWER CRUST WHITE PIZZA (MEDIUM),26.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAULIFLOWER CRUST HAWAIIAN PIZZA (MEDIUM),26.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHOCOLATE CHIP COOKIE,3.95,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SNICKERDOODLE COOKIE,3.95,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGAN DOUBLE CHOCOLATE COOKIE,3.95,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
M+M'S COOKIE,3.95,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
COOKIES AND MILK FOR 1,12.95,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
COOKIES AND MILK FOR 2,19.95,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
A DOZEN COOKIES + 1,32.95,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET STREET PERUVIAN CHOCOLATE BROWNIE,4.75,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET STREET LARGE SALTED CARAMEL CRUNCH COOKIE,3.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET STREET LARGE CHOCOLATE CHUNK COOKIE,3.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET STREET CHEWY MARSHMALLOW RICE CRISPY BAR (GLUTEN FREE),3.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUNNY DAY BUTTER PECAN ICE CREAM (PINT),7.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUNNY DAY MINT CHOCOLATE CHIP ICE CREAM (PINT),7.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUNNY DAY PISTACHIO ICE CREAM (PINT),7.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUNNY DAY COOKIES N’ CREAM ICE CREAM (PINT),7.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUNNY DAY ROCKY ROAD ICE CREAM (PINT),7.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SUNNY DAY CHOCOLATE CHIP COOKIE DOUGH ICE CREAM (PINT),7.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
COKE (CAN),2.5,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
DIET COKE (CAN),2.5,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPRITE (CAN),2.5,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROOTBEER (CAN),2.5,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
WATER (BOTTLE),2.0,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPARKLING WATER (BOTTLE),3.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEXICAN COKE (BOTTLE),3.99,,I ♥️ CAULIFLOWER PIZZA,"UBEREATS, LOS ANGELES, CA",,,,,,,
