name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HARD SHELL SHRIMP TACOS PLATE,12.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
BURRITO WITH CHORIZO,8.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
BURRITO WITH CHICHARON,8.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
BURRITO WITH PASTOR,8.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
BURRITO WITH CARNITAS,8.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
BURRITO WITH CARNE ASADA,8.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
BURRITO WITH CHICKEN (POLLO),8.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORTA DE CARNE ASADA,7.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORTA DE PASTOR,7.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORTA DE CARNITAS,7.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORTA DE CHICKEN (POLLO),7.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORTA DE CHORIZO,7.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORTA DE MILANESE DE POLLO,7.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TORTA DE MILANESE DE RES,7.95,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TACO WITH CARNE ASADA,2.75,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TACO WITH PASTOR,2.75,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TACO WITH CARNITAS,2.75,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TACO WITH CHICKEN (POLLO),2.75,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TACO WITH CHORIZO,2.75,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TACO WITH CHICHARON,2.75,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CARNE ASADA PLATE,12.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN PLATE (POLLO),12.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
COSTILLA RIBS,12.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICHARON,12.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHILE RELLENOS (2 PCS),12.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
COSTILLTAS IN GREEN CHILE SAUCE PLATE,12.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CARNITAS PLATE,12.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP COCKTAIL (20 OZ),13.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
HARD SHRIMP TACOS,4.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
JAVIA TOSTADA,2.75,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CEVICHE TOSTADA,2.75,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP TOSTADA,4.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
AGUA CHILE TOSTADA,4.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CANNED SODA (12 OZ),1.5,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
QUESADILLA DE ASADA,7.0,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
QUESADILLA DE CHORIZO,7.0,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
QUESADILLA DE PASTOR,7.0,,MIDNIGHT EXPRESS TACOS,"UBEREATS, LOS ANGELES, CA",,,,,,,
