name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SPICY TUNA ROLL,9.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CALIFORNIA ROLL,9.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
BAKED SALMON ROLL,21.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CRUNCH ROLL,15.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON AND AVOCADO ROLL,10.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
HALIBUT SASHIMI,99.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
MIXED SASHIMI,79.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
BIGGER MIXED SASHIMI,119.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SMALLER MIXED SASHIMI,35.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
TUNA,7.9,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON,6.8,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
YELLOWTAIL,7.9,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
ALBACORE,6.8,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SALMON ROE,6.9,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
HALIBUT,7.5,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
FRESH WATER EEL,7.9,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SNAPPER,7.9,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
EDAMAME,7.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
GARLIC EDAMAME,9.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY GARLIC EDAMAME,9.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
MISO SOUP,4.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SHRIMP SOUP,7.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
CLAM MISO SOUP,9.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY MISO SOUP,7.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
PINEAPPLE,12.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
HOUSE SALAD,7.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY SASHIMI SALAD,19.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
AVOCADO SALAD,12.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
FRENCH FRIES,10.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
TATER TOTS,9.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
GARLIC FRENCH FRIES,12.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
HONEY BUTTER CHIPS,11.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIED SWEET POTATO,12.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
HEART ATTACK,7.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
TAKO WASSABI,9.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SUPER MARIO,7.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SEAWEED SALAD,7.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SWEET CORN CHEESE,11.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
PINEAPPLE CORN CHEESE,11.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF GYOZA,9.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
DDUK BOKGI,13.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
RAMEN BOKGI,13.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SPAM AND EGG,12.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY RAMEN,12.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
TOFU AND KIMCHI,19.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY PORK BELLY,20.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
PORK BELLY SALAD,20.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY KIMCHI AND PORK BELLY,20.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
PORK BELLY WITH SOY SAUCE AND ONION,19.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
BULGOGI,16.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SAUTEED BEEF INTESTINE,17.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY SAUTEED BEEF INTESTINE,17.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY CHICKEN,19.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
FRIED CHICKEN WINGS,20.0,,SAKE HOUSE BY HIKARI (6TH STREET),"UBEREATS, LOS ANGELES, CA",,,,,,,
