name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TABOULEH,4.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
HUMMUS,4.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
FALAFEL,3.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
TZATZIKI,4.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRAPE LEAVES,4.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
PICKLES,3.49,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
BABA GANNOUSH,4.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN KAFTA PITA,7.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHAWARMA PITA,7.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
LAMB KAFTA PITA,7.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
FALAFEL PITA,6.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF PITA,8.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN PITA,7.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
HALF ROTISSERIE CHICKEN,10.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
GRILLED FILET FISH,11.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN STEAK,11.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
LAMB KAFTA PLATE,12.49,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
GYROS PLATE,11.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
LAMB CHOPS,17.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF KEBAB,13.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN KABAB AND CHICKEN KAFTA,9.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
MIX GRILL PLATE,14.9,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN KABAB,10.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
COMBO BEEF AND CHICKEN,12.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN KAFTA,8.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
GYROS AND FALAFEL,10.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN KABAB AND KAFTA,11.49,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
COMBO GYROS AND SHAWARMA,11.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF KABAB AND SHAWARMA,12.49,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF KABAB AND FALAFEL,11.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHAWARMA AND FALAFEL,10.49,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN KABAB AND FALAFEL,10.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
SHAWARMA PLATE,11.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
FALAFEL PLATE,10.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGETARIAN PLATE,11.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEK SALAD,8.49,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAESAR SALAD,8.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEK SALAD WITH CHICKEN,9.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEK SALAD WITH CHICKEN SHAWARMA,9.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEK SALAD WITH BEEF KABAB,10.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEK SALAD WITH GYROS,9.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CEZAR SALAD WITH CHICKEN KABAB,9.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI 1/4 CHICKEN,7.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI FALAFEL,7.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI KAFTA,8.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI CHICKEN KABAB,8.49,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI BEEF KABAB,9.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI SHAWARMA,8.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI CHICKEN KAFTA,7.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI GYROS,8.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
GYROS PITA,7.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF SOUVLAKI,8.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN SOUVLAKI,7.99,,SANTEE FALAFEL,"UBEREATS, LOS ANGELES, CA",,,,,,,
