name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN CAESAR SALAD,10.35,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN BREAST SALAD,10.35,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
ANTIPASTO SALAD,10.35,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEK SALAD,10.35,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
MEXICAN TUNA SALAD,10.35,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TUNA SALAD,10.35,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
COLD CUT SALAD,10.35,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TURKEY BREAST SALAD,10.35,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEN SALAD,6.9,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TONY'S HOUSE SPECIAL SANDWICH,9.2,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROASTED TURKEY BREAST SANDWICH,9.2,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
HAM & TURKEY SANDWICH,9.2,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
HAM & CHEESE SANDWICH,9.2,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALAMI & CHEESE SANDWICH,9.2,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
CAPPICOLLO SANDWICH,9.2,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
VEGETARIAN SANDWICH,9.2,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
TUNA SANDWICH,9.2,,TONY'S SUBS & SALADS,"UBEREATS, LOS ANGELES, CA",,,,,,,
