name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
9 SWEET MILK CHOCOLATE CAKE (밀크쵸코렛케이크),47.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
7 CHOCOLATE PARTY BEAR CAKE 곰돌이쵸코버터케잌,42.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
6 CONFETTI CAKE,38.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
6 RED VELVET CREAM CAKE,34.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
8 LARGE BLUEBERRY FRESH YOGURT CREAM CAKE 프레쉬요거트케잌,47.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
7 PEACH BUTTER CAKE 피치버터크림케잌,35.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
8 CARAMEL MOCHA BUTTER CREAM CAKE 캬라멜모카케잌,45.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
7 STRAWBERRY FANTASY BUTTER CREAM CAKE 스트로베리판타지딸기버터케잌,45.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
7 HEART CHOCOLATE CAKE 하트버터케잌,36.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
6 PINK PIGGY CAKE 피기버터케잌,39.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
6 VANILLA CHOCOLATE HEART MOUSSE CAKE 바닐라쵸코3단무스케잌,34.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
8 LARGE GANACHE CHOCOLATE CAKE 가나쉬쵸코렛케잌,45.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
8 FRESH CREAM CLOUD CAKE,47.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
7 FRESH CREAM CLOUD CAKE,41.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
6 FRESH CREAM CLOUD CAKE,36.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
7 FRESH YOGURT CAKE,41.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
6 FRESH YOGURT CAKE,36.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
7 CHOCOLATE GATEAU CAKE,36.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
6 CANACHE CHOCOLATE MOUSSE CAKE,34.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
6 CHOCOLATE TRIPLE MOUSSE CAKE,34.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
6 SWEET POTATO CAKE,34.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
7 TIRAMISU CAKE,39.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
7 BAKED CHEESE CAKE,35.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
TIRAMISU SPOONABLE CAKE (티라미수케잌),8.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUEBERRY YOGURT SLICED CAKE (블루베리요거트슬라이스케잌),8.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BAKED CHEESE SLICED CAKE (베이크치즈케잌슬라이스),7.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI MOCHA CAKE,3.25,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
STRAWBERRY CHEESE SPOONABLE CAKE (스트로베리치즈케잌),8.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
GANACHE CHOCO MOUSSE SLICED CAKE (가나쉬무스슬라이스케잌),8.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI CHEESE CAKE,3.25,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPOONABLE CHOCOLATE CAKE,8.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
FRESH CREAM SLICED CAKE,7.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
WHOLE CRANBERRY-WALNUT CHICKEN SALAD SANDWICH 크랜베리치킨샌드위치,8.5,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
HAM AND CHEESE CROISSANT SANDWICH 햄치즈크로와상샌드위치,5.5,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
WHOLE EGG SALAD SANDWICH 계란샌드위치,7.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
ORIGINAL CASTELLA,20.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHOCOLATE CHIP COOKIE IN BOX,5.5,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHOCOLATE MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
LEMON MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
RED VELVET MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
VANILLA MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
GREEN TEA MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SALTED CARAMEL MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
ORANGE TRUFFLE MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BLUEBERRY LAVENDER MACARON (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
PISTACHIO MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROSE MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
EARL GREY MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
COFFEE MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
HAZELNUT BRITTLE MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
COOKIE AND CREAM MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
RASPBERRY MACARONS (3 PCS),10.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
ALL NATURAL JAM,9.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
ALL NATURAL JAM STRAWBERRY,9.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
ALL NATURAL JAM BLUEBERRY,9.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
WHOLE MILK PAN BREAD,8.5,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
WHIPPED CREAM PAN BREAD,8.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
WHOLE WHEAT PAN BREAD,8.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
RAISIN PAN BREAD,8.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
MULTI GRAIN PAN BREAD,8.5,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
TOAST PAN BREAD (SANDWICH BREAD),8.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOT HOUSE COFFEE,3.0,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
ICED HOUSE COFFEE,3.75,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOT CAFE LATTE,4.5,,TOUS LES JOURS BAKERY & CAFE,"UBEREATS, LOS ANGELES, CA",,,,,,,
