name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRENCH FRIES,5.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
TOMATO SOUP,6.5,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESE FRIES,6.5,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
MAC ATTACK GRILLED CHEESE,12.95,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN PESTO GRILLED CHEESE,12.95,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
CLASSIC GRILLED CHEESE,8.99,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
GROWN UP GRILLED CHEESE,9.99,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
FANCY GRILLED CHEESE,10.95,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
BLT GRILLED CHEESE,12.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
BREAKFAST GRILLED CHEESE,10.95,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
BACON AVOCADO GRILLED CHEESE,12.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
BURGER GRILLED CHEESE,12.95,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
FRENCH FRY GRILLED CHEESE,12.95,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
BBQ CHICKEN GRILLED CHEESE,12.95,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
VEGGIE GRILLED CHEESE,11.5,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
BACON CHEDDAR RANCH GRILLED CHEESE,12.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
TUNA MELT,12.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
BACON CHEESE FRIES,8.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
POTATO SALAD,5.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
COLESLAW,4.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
WATER (BOTTLE),2.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
COKE (CAN),2.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
DIET COKE (CAN),2.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE (CAN),2.0,,BTCH DON'T GRILL MY CHEESE (2019 WEST BETHANY HOME ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
