name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRIED RICE,6.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
ORANGE CHICKEN,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
CRAB PUFFS,4.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
BROCCOLI BOWL,7.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
BEEF AND BROCCOLI,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
FRENCH FRIES,2.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
EGGROLLS (2PCS),2.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
STEAM RICE,2.5,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
BUTTERFLY SHRIMP (6PCS),4.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
FRIED VEGETABLE SPRING ROLLS (2PCS),2.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
SWEET AND SOUR CHICKEN,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEN PEPPERS AND CHICKEN,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
KUNG PAO CHICKEN,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN AND BROCCOLI,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN WITH VEGETABLES,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
CHOP SUEY CHICKEN,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN CHOW MEIN (CRUNCHY NOODLES),12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN LO MEIN (SOFT NOODLES),12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN EGG FOO YONG,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEN PEPPERS AND BEEF,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
KUNG PAO BEEF,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
BEEF WITH VEGETABLES,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
BEEF CHOP SUEY,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
BEEF CHOW MEIN (CRUNCHY NOODLES),12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
BEEF LO MEIN (SOFT NOODLES),12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
BEEF EGG FOO YONG,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
SWEET AND SOUR PORK,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEN PEPPERS AND PORK,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
KUNG PAO PORK,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
PORK AND BROCCOLI,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
PORK WITH VEGETABLES,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
PORK CHOP SUEY,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
PORK CHOW MEIN (CRUNCHY NOODLES),12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
PORK LO MEIN (SOFT NOODLES),12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
PORK EGG FOO YONG,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
SWEET AND SOUR SHRIMP,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEN PEPPERS AND SHRIMP,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
KUNG PAO SHRIMP,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP AND BROCCOLI,12.99,,BEN BROTHERS CHINESE MARKET,"UBEREATS, PHOENIX, AZ",,,,,,,
