name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SEDONA SOFT SERVE ACAI BOWL,7.5,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
VORTEX SOFT SERVE ACAI BOWL,8.0,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
BRAZILIAN SOFT SERVE ACAI BOWL,7.5,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
BRAZILIAN BLENDED ACAI BOWL,11.5,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
SUMMIT SOFT SERVE ACAI BOWL,8.0,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
MAUI WOWIE SOFT SERVE ACAI BOWL,8.0,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
AWAKEN SOFT SERVE ACAI BOWL,8.0,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
VOLCANO SOFT SERVE ACAI BOWL,8.0,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
RED ROCK SOFT SERVE ACAI BOWL,8.0,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
CLEANSE SOFT SERVE ACAI BOWL,8.0,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
SEDONA BLENDED ACAI BOWL,11.5,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
VORTEX BLENDED ACAI BOWL,12.0,,BERRY DIVINE ACAI BOWLS (PHOENIX),"UBEREATS, PHOENIX, AZ",,,,,,,
