name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
VEGGIE FLATBREAD,20.99,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
PEPPERONI & BACON FLATBREAD,20.99,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
FAMILY MEAL,45.99,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
CAESAR SALAD,8.0,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
BASIL TOMATO SOUP,7.0,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESE PLEASE FLATBREAD,17.99,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
MUSHROOM FOREST FLATBREAD,20.99,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
THE PEPPERONI FLATBREAD,19.99,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
PEPPERONI & SAUSAGE FLATBREAD,20.99,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN PESTO FLATBREAD,20.99,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
CHOCOLATE CHIP COOKIE,3.5,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
BROWNIE,5.0,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
COKE,3.0,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
DIET COKE,3.0,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE,3.0,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
BOTTLED WATER,3.0,,BLAZED FLATBREADS,"UBEREATS, PHOENIX, AZ",,,,,,,
