name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
WINGS,15.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
BUFFALO CHICKEN WRAP,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
ADULT HAPPY MEAL AKA CHICKEN STRIPS & CURLY FRIES,12.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
BAVARIAN SOFT PRETZELS,12.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
JACK DANIELS BURGER,15.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
MAC AND CHEESE BITES,8.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
MOZZARELLA STICKS,8.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
JALAPENO POPPERS,8.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
GARLIC FRIES,8.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
ONION RINGS,8.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
ROSEMARY FRIES,8.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
BASELINE QUESADILLA,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
SPICY QUESADILLAS,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEN CHILE QUESADILLA,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
STEAK QUESADILLA,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
JALAPENO WHITE QUESADILLA,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
SWEET THAI CHILE WRAP,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
CRISPY CHIPOTLE WRAP,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
SIRLOIN WRAP,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
AJ'S SPINACH SALAD,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
SRIRACHA SOUTHWEST SALAD,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
CRISPY CHICKEN SALAD,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
CRISPY CHIPOTLE CHICKEN SALAD,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
CRISPY SWEET THAI CHILE SALAD,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
CAJUN CAESAR SALAD,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
BUFFALO SALAD,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
STREET CORN NACHOS,14.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
ELOTE PIZZA ON CAULIFLOWER CRUST,16.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
BRICK AND BARLEY BURGER,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
JALAPENO POPPER BURGER,15.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
BACON CHEDDAR MELT BURGER,15.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
ROASTED APPLE DOUBLE MUENSTER BURGER,15.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
BLT WITH AVOCADO SANDWICH,11.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
CALIFORNIA CLUB SANDWICH,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
POBLANO AVOCADO CHICKEN SANDWICH,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
THE BIG CLUB SANDWICH,13.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
DR PEPPER,1.75,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
DIET DR PEPPER,1.75,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
LAYS POTATO CHIPS,1.5,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
MINI KEY LIME CREAM PIE,5.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
LEMON RASPBERRY CHEESECAKE CAKE,7.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
LEMON MINI MOUSSE CAKES,5.99,,BRICK AND BARLEY,"UBEREATS, PHOENIX, AZ",,,,,,,
