name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
REGULAR FRENCH FRIES,2.79,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
REGULAR POTATO WEDGES,3.29,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
LARGE FRENCH FRIES,5.29,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
FOUNTAIN SODA 20 OZ,2.49,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
MOZZARELLA STICKS,8.29,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
20 BONELESS + 20 TRADITIONAL WINGS & FRIES,44.99,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
FRIED PICKLES,8.29,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
REGULAR BEER-BATTERED ONION RINGS,6.49,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
LARGE BEER-BATTERED ONION RINGS,9.49,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
REGULAR CHEDDAR CHEESE CURDS,6.79,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
LARGE CHEDDAR CHEESE CURDS,11.99,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
LARGE POTATO WEDGES,5.49,,BUFFALO WILD WINGS GO (2641 N 44TH ST),"UBEREATS, PHOENIX, AZ",,,,,,,
