name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHOCOLATE CHIP COOKIE,1.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
CLASSIC CHEESE STEAK,12.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
THE HOT BOBBIE,11.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
AMERICAN WAGYU CHEESE STEAK,14.39,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
THE COLD BOBBIE,11.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
ITALIAN CLASSIC,11.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN CHEESE STEAK,12.49,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN CHIPOTLE CRUNCH CHEESE STEAK,12.49,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
IMPOSSIBLE CHEESE STEAK,15.59,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
COLE TURKEY,11.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
HOMEMADE TURKEY,11.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
GRILLED ITALIAN CLASSIC,11.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
CAPASTRAMI,12.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
AMERICAN WAGYU ROAST BEEF,15.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
AMERICAN WAGYU SLAW BE JO,15.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
FRENCH FRIES,2.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
BAKED LAYS- SOUR CREAM AND ONIONS,1.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
LAYS-- CLASSIC,1.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
SKITTLES,2.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
KIT KAT KING,2.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
M&MS CHOCOLATE,2.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
TWIX,2.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
VITAMIN WATER XXX,2.49,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE,2.49,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
SUGAR FREE RED BULL,4.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
RED BULL,4.99,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
MINUTE MAID ORANGE JUICE,2.49,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
DIET COKE,2.49,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
DASANI WATER,2.49,,CAPRIOTTI'S SANDWICH SHOP (PHX09-1),"UBEREATS, PHOENIX, AZ",,,,,,,
