name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
3 ITEMS,8.45,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
ORANGE CHICKEN,9.45,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
2 ITEMS,7.45,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
HOUSE SPECIAL FRIED RICE,9.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN LO MEIN,9.45,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
1 ITEM,5.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
BEEF CHOW FUN,9.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
SINGAPORE RICE NOODLE,9.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
SALT & PEPPER SHRIMP,11.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
PEKING SHREDDED PORK,9.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
CAJUN SHRIMP,11.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
CAJUN CRAWFISH,11.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
BEAN CURD FAMILY STYLE,7.5,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
SPICY CRAWFISH,11.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
VEGETABLE SPRING ROLL,1.75,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
EGG ROLL,1.75,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
CRAB PUFFS,5.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
FRIED WONTON,4.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
SPICY PAN-FRIED WONTONS,7.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
POT STICKER (DUMPLING),6.95,,CHEN & WOK,"UBEREATS, PHOENIX, AZ",,,,,,,
