name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GEORGE'S MEGA GYRO (1/2 LB),19.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEK PLATTER,21.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESE PIZZA (12) (FEEDS 1-2),13.6,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN KABOB,21.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEK PIZZA (12) (FEEDS 1-2),16.7,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
HUMMUS,10.45,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
CALAMARI,12.9,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SOUVLAKI CHICKEN KABOB (2 PCS),12.7,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
FETA TOMATO FRIES,9.9,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SPINACH PIE (SPANAKOPITA) (3 PCS),10.5,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEK (GYRO) FRIES,12.7,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SAGANAKI,11.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SPICY JALAPENO FETA,11.7,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEK SALAD,12.1,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
CAESAR SALAD,12.1,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
GOAT CHEESE SALAD,12.1,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
HORIATIKI VILLAGE SALAD,13.1,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
JALAPENO SALAD,12.1,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN PASTA SALAD,14.1,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SAGANAKI SALAD,12.1,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
STEAK SALAD,18.3,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SOUP AND SALAD,13.3,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SOUVLAKI KABOB SALAD (CHICKEN),16.6,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
JIM'S PIZZA (12) (FEEDS 1-2),17.7,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
WHITE PIZZA (12) (FEEDS 1-2),15.7,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
ELLEN PIZZA (12) (FEEDS 1-2),16.7,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
GEORGIE PIZZA (12) (FEEDS 1-2),16.7,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
ANGELA PIZZA (12) (FEEDS 1-2),16.7,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SEAFOOD PLATTER,29.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP PASTA,21.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN,20.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SAUSAGE,20.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
GRILLED SHRIMP AND SALMON,23.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
MEDITERRANEAN PASTA,21.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
RACK OF LAMB,30.95,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
SPAGHETTI WITH MEAT SAUCE,15.5,,GEORGE'S KITCHEN,"UBEREATS, PHOENIX, AZ",,,,,,,
