name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
EDGE WINGS,6.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
COBB SALAD,8.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
THE CARVER SANDWICH,8.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
PESTO GRILLED CHICKEN SANDWICH,8.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
ROMAN RED PEPPER PIZZA,9.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
BREAKFAST SANDWICH,6.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
BREAKFAST BURRITO,5.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
CLASSIC BREAKFAST,7.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
BREAKFAST PIZZA,8.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
STEEL CUT OATMEAL,5.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
SMOKEY JOE SANDWICH,7.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
DOC'S CHOICE SANDWICH,8.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
OFF THE EDGE SANDWICH,6.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
VEGGIEMON WRAP,8.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
THE CLASSIC CHEESEBURGER,8.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
PEPPERONI PIZZA,8.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
SAUSAGE PIZZA,8.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESE PIZZA,7.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
ENCANTO AVOCADO PIZZA,9.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
BUFFALO CHICKEN PIZZA,8.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
CAESAR SALAD,6.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
CAPRESE SALAD,7.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
BLACK BEAN HUMMUS AND PITA,6.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
SEASONED FRIES,4.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
DEEP FRIED MAC & CHEESE BITES,4.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
DEEP FRIED PICKLE CHIPS,4.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
CHOCOLATE CHIP COOKIES,1.25,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
BEN AND JERRY'S PIZOOKIE,6.95,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
SODA,2.5,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
ICE TEA,2.0,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
COFFEE,2.0,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
LATTE,4.5,,HOB NOBS,"UBEREATS, PHOENIX, AZ",,,,,,,
