name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
MUFFIN TOPS,3.75,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
BREAKFAST BURRITOS,8.25,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
GRANITA,5.0,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
BREAKFAST SANDWICHES,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
COLD BREW,4.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
SNOWY MOCHA,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CARAMEL MOCHA,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
MEXI MOCHA,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PUMPKIN MOCHA,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CARAMEL HAZELNUT MOCHA,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PEPPERMINT MOCHA,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
VANILLA MOCHA,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
MOCHA,5.0,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PUMPKIN LATTE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PEPPERMINT LATTE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
LATTE,4.7,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
IRISH CREAM BREVE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CHOCOLATE MAC BREVE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
BREVE,5.0,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CHAI LATTE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
MATE LATTE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CAPPUCCINO,4.7,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
MATCHA LATTE,5.7,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
FRESH BREWED COFFEE,3.0,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
STEVE SMITH TEA,3.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
HOT CHOCOLATE,3.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
AMERICANO,3.7,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
FLAVORED STEAMER,3.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
ESPRESSO SHOTS,2.0,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
20 OZ ROCKSTAR SMOOTHIE,6.75,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
JAVA CHIP GRANITA,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
REAL FRUIT SMOOTHIE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
FROZEN HOT CHOCOLATE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
32 OZ INFUSED ROCKSTAR,5.7,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
JAVA CHIP SMOOTHIE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
VANILLA SMOOTHIE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
ACAI SMOOTHIE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PUMPKIN PIE SMOOTHIE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
GREEN TEA SMOOTHIE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CHAI SMOOTHIE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
LOW CARB,5.7,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
LIME FREEZE SMOOTHIE,5.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
ITALIAN SODA,3.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CREAMOSA,3.35,,HUMAN BEAN (2000 EAST INDIAN RD),"UBEREATS, PHOENIX, AZ",,,,,,,
