name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SMOKED BRISKET SLIDERS,15.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
SMOKED BEER BRAT,11.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
3 SAUSAGE + PRETZEL BOARD,20.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
ROAST BEEF SLIDERS,12.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
FIG + ARUGULA FLATBREAD,15.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
RUSTIC GIANT PRETZEL,9.5,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
STUFFED JALAPENO POPPERS,12.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
MEAT AND CHEESE SNACK BOARD,15.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
SMOKED SALMON BOARD,22.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
CLASSIC CHIPS + DIP,7.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
ALMOST FAMOUS BLACK BEAN NACHOS,12.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
TORTILLA CHIPS + SALSA,6.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
LEAH'S DEVILED EGGS,4.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
HUMMUS,9.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
3 SAUSAGE BOARD,16.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
SAUSAGE AND PRETZEL BOARD,16.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
SAUSAGE PARTY!,4.5,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
VEGAN SAUSAGE BOARD,20.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
CHOPPED KALE,12.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN TORTILLA,7.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
BELGIAN COUNTRYSIDE FLATBREAD,14.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
OVEN ROASTED TOMATO + BASIL FLATBREAD,13.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
BBQ PULLED PORK FLATBREAD,14.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICAGO CHAR DOG,10.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
ANDOUILLE SAUSAGE SANDWICH,11.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
SONORAN DOG,11.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
MAGIC CHEDDAR BRAT,12.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
BEYOND GOOD VEGAN BRAT,13.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEN CHILE PORK SLIDERS,12.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
CAPRESE SLIDERS,11.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
HAM + CHEESE MELT,11.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
THE ITALIAN,12.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
UPTOWN GIRL,11.0,,HUSS BREWING CO. TAPROOM AT UPTOWN PLAZA,"UBEREATS, PHOENIX, AZ",,,,,,,
