name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BAKED ZITI,10.25,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
SPAGHETTI AND MEATBALLS,12.25,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESE RAVIOLI W/ MOZZARELLA,10.25,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
PASTA W/ ALFREDO SAUCE,10.25,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN CUTLET PARMIGIANA HOT PLATE,14.5,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
8 PIECE FISH AND CHIP FAMILY PACK,26.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
12 PIECE FISH AND CHIP FAMILY PACK,34.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
16 PIECE FISH AND CHIP FAMILY PACK,42.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
20 PIECE FISH AND CHIP FAMILY PACK,50.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
1/2 TRAY SPAGHETTI AND MEATBALLS,69.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
1/2 TRAY CHICKEN CUTLET PARMIGIANA,69.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
1/2 TRAY BAKED ZITI,69.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
1/2 TRAY PENNE,69.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
HOUSE SALAD,5.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
CAESAR SALAD,6.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
GRILLED CHICKEN CAESAR SALAD,9.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
GRILLED CHICKEN SALAD,8.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
2 PIECE FISH AND CHIPS,8.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
3 PIECE FISH AND CHIPS,10.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
4 PIECE FISH AND CHIPS,12.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
5 PIECE FISH AND CHIPS,14.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
5 PIECE SHRIMP AND CHIPS,7.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
10 PIECE SHRIMP AND CHIPS,12.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
15 PIECE SHRIMP AND CHIPS,17.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
20 PIECE SHRIMP AND CHIPS,22.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
2 FISH AND 3 SHRIMP COMBO,9.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
3 FISH AND 4 SHRIMP COMBO,11.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
10 FISH AND 10 SHRIMP COMBO,35.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
CATFISH SANDWICH COMBO,9.49,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
CODFISH SANDWICH COMBO,9.49,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
PHILLY STEAK COMBO,9.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
GYRO COMBO,9.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
1/4 LB. CHEESEBURGER COMBO,8.49,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
1/4 LB. HAMBURGER COMBO,7.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
1/2 LB. DOUBLE CHEESEBURGER COMBO,9.49,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
10 NUGGETS COMBO,8.49,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
2 PIECE CHICKEN TENDERS COMBO,8.49,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
3/4 LB. TRIPLE CHEESEBURGER COMBO,11.99,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
CATFISH SANDWICH,7.49,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
CODFISH SANDWICH,7.49,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
PHILLY STEAK SANDWICH,7.49,,ITALIAN SPOON,"UBEREATS, PHOENIX, AZ",,,,,,,
