name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHIPS & GUACAMOLE,5.75,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESE QUESADILLA,6.5,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
FLAUTAS,7.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
BEAN BURRITO,5.7,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
"EGGS, CHEESE & POTATO BURRITO",5.65,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
TRAINER SALAD,8.1,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
ASADA SANDWICH,9.25,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
POLLO SANDWICH,7.5,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
LENGUA SANDWICH,7.5,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CARNITAS SANDWICH,7.5,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PASTOR SANDWICH,7.5,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
ASADA STREET TACO,3.0,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
POLLO STREET TACO,2.25,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
LENGUA STREET TACO,3.0,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP STREET TACO,3.0,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CARNITAS STREET TACO,2.25,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PASTOR STREET TACO,2.25,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
FISH STREET TACO,3.0,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
VEGGIE STREET TACO,2.25,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
ASADA TOSTADA,5.0,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
POLLO TOSTADA,3.75,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
LENGUA TOSTADA,5.0,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CEVICHE TOSTADA,5.5,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CARNITAS TOSTADA,3.75,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PASTOR TOSTADA,3.75,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
BEAN TOSTADA,2.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
ASADA BURRITO,8.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
POLLO BURRITO,7.3,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
LENGUA BURRITO,8.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
FISH BOWL,10.0,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
GREEN CHILE PORK BOWL,8.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
VEGGIE BOWL,7.75,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
AZ STYLE BURRITO,8.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
ASADA BOWL,9.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
POLLO BOWL,7.75,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CARNITAS BURRITO,7.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PASTOR BURRITO,7.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
AZ STYLE BOWL,9.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP BOWL,9.85,,LOS TAQUITOS (INDIAN SCHOOL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
