name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SHRIMP CEVICHE TOSTADA,10.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
AGUACHILE SHRIMP,17.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
ORDEN DE CEVICHE,10.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
CARNE ASADA STEAK,13.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP AND OCTOPUS (CAMARON Y PULPO),10.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
BEAN DIP,3.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
LAND AND SEA (MAR Y TIERRA ),19.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
MOLCAJETE AGUACHILE,19.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
OCTOPUS (PULPO),16.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
MARISCADA FRESCA,19.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
CRAB LEGS (JAIVA),12.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP TORITOS WITH CHEESE (C/ QUESO),12.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP TO PEEL (CAMARON PARA PELAR),16.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
TORRE DE MORISCOS (16 OZ),15.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP TORITOS (TORITOS DE CAMARON),12.0,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
CAMARONES AHOGADOS,16.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP AND SCALLOP (CAMARON Y CALLO),19.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP (CAMARON),16.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
QUESO FUNDIDO,4.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
GUACAMOLE,5.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
SCALLOP (CALLO DE HACHA),22.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICHARRON DE PARGO,18.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
QUESO CON CHORIZO,6.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
CREAM OF SHRIMP (CREMA DE CAMARON),11.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
"SHRIMP, OCTOPUS, AND FISH (CAMARON, PULPO Y PESCADO)",12.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
FISH SOUP (PESCADO),9.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
PLAIN SOUP (VICHI) (MEDIUM),4.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
FISH AND OCTOPUS (PULPO Y PESCADO),9.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP AND FISH (CAMARON Y PESCADO),12.0,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP SOUP (CAMARON),11.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
7 SEAS (7 MARES),13.99,,MARISCOS SINALOA,"UBEREATS, PHOENIX, AZ",,,,,,,
