name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PORK GYOZA (6 PCS),5.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
NISHIKAWA BLACK,13.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
TONKOTSU RAMEN,10.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
MISO RAMEN,10.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN GYOZA (6 PCS),5.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
SHIO RAMEN (SEA SALT BASED),10.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
VEGETARIAN RAMEN,9.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
YOKOHAMA STYLE (SOY SAUCE BASED),11.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
CURRY,11.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
CHASHU BOWL(LARGE),10.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
KATSU BOWL(LARGE),10.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
BEEF BOWL(LARGE),10.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
SLICED PORK BOWL(LARGE),10.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
SPICY TUNA BOWL(LARGE),11.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
IKURA BOWL(LARGE),11.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
WHITE RICE,2.75,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
TAKOYAKI (6 PCS),6.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN KARAAGE,7.45,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
SPRING ROLL (6 PCS),5.95,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
EDAMAME,3.5,,NISHIKAWA PHX INC,"UBEREATS, PHOENIX, AZ",,,,,,,
